1
4a 24 25 27 32 36 a4 7a 76 a6 
7a 71 a6 7a 78 71 27 28 32 78 
27 28 2h 78 67 27 62 63 23 62 
68 75 28 42 73 47 46 47 42 4h 
42 a2 7a 76 a6 53 57 5a 45 a4 
37 34 3a 38 35 a8 3a 32 3h 2h 
4h 73 78 17 38 13 73 17 16 a1 
3a 37 a7 1a 13 1h 4h 14 16 26 
2h 2h a3 2a 52 42 54 53 57 56 
57 43 84 51 85 82 8h 8h ah 3h 
52 65 6a 42 64 a4 54 6a 65 a5 
6a 67 a7 5a 57 65 61 a7 6a 6h 
83 8h 65 36 38 68 a6 3a 36 73 
a6 7a 75 7h 6h 7h 7h a5 35 83 
8a 86 8h 8h 7h 7h a6 36 83 8a 
8h 8h 2h 81 8h 8h 4h 4h 2h 4h 
2h 2h 5h 2h 5h 5h 6h 5h 6h 5h 
6h 6h 1h 6h 1h 3h 7h 1h 1h ah 

