3
7a 7b 57 72 7c a7 4a c4 75 1c 
16 c7 36 8c 84 8h 34 87 8h 5h 
53 13 51 5h 52 51 57 31 3h 13 
c5 8c 15 35 18 1h 1h b1 53 5h 
4h 8b c8 42 1c 51 5h b5 15 4b 
41 42 14 c1 46 4h 4h 3h 35 3c 
34 b6 8b 74 28 2h c2 3c 13 47 
a1 82 26 c8 1a 37 68 6c 61 63 
6h 3h ah 5h 5h 8h 6h 71 5a 5h 
74 a3 64 25v4 2h 14 8a 8h 4h 17 
56 5h 41 4h 42 c4 85 72 1c 58 
a1 5a 5h b5 3b 27 c3 4c 72 75 
c4 6c b6 25 4b a4 1a 84 c1 7c 
b7 3b c3 48 52 53 23 7c 25 84 
c7 2c 2h 2h 6h 1h ah bh 2h 4h 
3h 8h 4h 5h 3h 8h ch 4h 5h 3h 
8h 5h 7h 3h 8h 3h 
