3
15 7a 7b 7c 37 a6 b1 2a 27 a5 
1b 1a 14 b4 17 1b a1 b7 2a 3b 
32 38 a3 28 c2 57 5a b5 6c 6b 
a6 c7 3a 3c 35 5h 4h a8 57 5a 
53 ah 43 b4 1a 1b 13 bh 6b 61 
6h b1 46 6h 65 6h 64 2b 26 28 
b6 3b 3h a3 b3 54 38 45v5 4a 4b 
43 47 7h 8h b4 24 c2 42 8b 8c 
84 8h c4 b4 7c 7b 7h b3 c3 4b 
4c 4h c4 b4 5h 8h 7b 7c 7h c5 
b5 35 2c 2h c8 7b 7h a3 73 7c 
27 c1 71 5a 5h 4c 4h 52 5h 57 
54 5h b5 74 1h 1h 5b 57 5h b7 
47 73 85v7 8b 86 8h ah ch 2h 8h 
3h 5h bh 3h 5h 3h 5h 3h 1h 5h 
3h 6h 5h 3h 1h 6h 5h 3h 1h 6h 
5h 3h 
