2
3a 3h 53 8b 85 a8 76 63 73 6a 
61 71 21 23 42 42 74 78 a7 24 
71 51 67 5a 5h 5h 61 67 21 2h 
1h 72 b6 41 7b a7 6a b6 26 2b 
2h 23 a3 14 b2 62 17 15 75 16 
7a 1b 17 1h 3h 1h 4h 4h 3h 4h 
74 b7 62 37 31 38 71 7b 26 37 
87 84 74 78 37 3h a3 7a b7 17 
14 62 a3 6b 6a 53 b6 18 48 78 
7b a7 26 27 67 2a b2 6b 35 82 
a6 84 1a b6 24 a1 2b 81 8a 86 
82 b8 42 53 28 a2 41 35 76 5b 
5h 81 8h 18 14 67 84 81 41 76 
5a 5h 35 b8 67 2b a2 53 57 37 
2a 52 5h 7h 4h 4h 75 7h 7h 76 
a5 2a b2 3b a7 42 4h 8h 1h 5h 
12 1h 1h 6h 6h 1h 1h 6h 1h 6h 
4a 43 3h 2h 5h 2h bh 2h ah 2h 
7h 2h 7h 2h 7h 2h 7h 2h 
