2
1h 2a 2b 2h a3 8a b8 85 4b 41 
a5 4a 41 a7 4a 42 54 53 43 45 
a4 64 65 67 62 6a 6h 1h 17 1h 
16 17 16 b1 65 34 36 3b 13 b6 
85 31 32 3h 7h 12 1b a1 3a 61 
21 23 26 a2 36 16 54 76 8a 8h 
73 87 a8 3a b3 a3 7b 7a 87 a8 
b8 45 3a 3b 73 7h b7 3b a7 42 
67 61 71 b3 8a 8b a8 3a b3 8b 
53 b5 24 54 17 a8 45 2b 2a 2h 
5h 2h b2 54 8b a8 28 58 5a 52 
5h 34 24 a6 5a 35 45 16 76 54 
62 6h b3 58 48 71 7h 3h 2h 7h 
8h 4h 6h 8h 4h 6h 8h 1h 4h 6h 
8h 1h 4h 6h 8h 1h 6h 8h 1h 4h 
6h 8h 1h 4h 6h 8h 1h 4h ah 6h 
8h 1h 4h 8h 
