1
3a 58 54 5h 53 51 a1 8a 84 86 
a4 5a 25 82 82 83 53 74 75 85 
12 18 17 87 18 1h 14 84 58 18 
51 85 81 38 51 35 34 31 85 38 
3h 5h 35 37 3h 53 54 34 a5 2a 
23 a3 2a 25 a5 3a 35 23 a5 2a 
2h 27 28 62 67 36 73 75 35 73 
25 72 32 a3 7a 73 78 76 7h 4h 
5h 37 36 43 4h 76 a6 4a 47 a7 
2a 26 a6 4a 42 a2 7a 72 57 5h 
a2 7a 47 48 78 47 47 4h ah 2h 
2h 5h 65 6h 1a 12 1h 1h 17 a2 
5a 56 5h 8h a6 5a 51 a1 6a 65 
61 6h 78 7h a5 1a 16 1h 1h 41 
a6 4a 41 4h 84 87 8h 8h 47 54 
56 25 46 24 54 25 27 42 57 65 
47 64 27 62 42 64 52 65 61 6h 
6h 8h 68 6h 6h 3h 6h 7h 2h 7h 
2h 7h 2h 7h 4h 7h 5h 7h 7h 1h 
8h 1h 1h ah 
