1
4a 24 34 64 86 74 53 78 72 a7 
71 21 81 8h 23 5a 25 a8 51 85 
8h 4h 8h 6h 6h 68 4a 4h 1h 3h 
81 78 75 a7 43 6a 56 43 54 73 
27 12 45 65 64 a6 62 46v2 4a 14 
1h a8 41 78 54 5a 5h 21 46 27 
25 a2 15 1h 17 57 64 82 12 36 
3a 35 38 34 31 25 a3 21 8a 51 
52 12 a8 48 68 6a 6h 64 43 72 
83 21 a5 2a 2h 17 a6 16 76 3a 
34 3h 7h a7 4a 34 3h 1h 45 38 
3h 3h 2h 2h 3h a4 74 83 1a 17 
18 1h a7 8a 18 1h 1h 1h 8h 6h 
48 4h 64 6h 5h 53 65 6h a2 6a 
36 3h 7h 72 17 1h 7h 8h 4h 1h 
5h 6h ah 3h 2h 3h 2h 3h 2h 3h 
2h 3h 
