3
5h 3a 3b 3c 37 b4 2b c2 83 76 
25 7c a7 2a 25 23 28 27 a2 52 
31 82 8h 4h 8a 8h 13 86 c8 58 
5c 52 58 a2 5a 58 a7 1a 15 74 
58 15 a1 75 12 18 32 57 47 23 
45 1a b1 32 75 14 28 a1 3b 3a 
3h 63 16 a1 b1 81 82 64 6a 64 
26 28 68 57 18 62 6b 63 64 12 
75 b6 74 7h 5h 8h 7b 47 c1 6c 
56 5h 74 c1 a5 6c 47 43 c6 1a 
1c b1 6b 51 a6 c5 65 73 41 31 
46v3 64 1a 1h 13 46 4c 41 71 47 
4h 4h bh ah 2h 8h 3h 2h 1h 8h 
3h 2h 1h 8h 3h 2h 1h 8h 3h 2h 
1h 8h 3h 2h 1h 8h 7h 2h 1h 8h 
6h 2h 1h 8h 5h 6h 1h 8h 5h 6h 
ch 8h 
