1
34 68 4a 42 34 a2 52 5h 35 35 
3h 3a 36 a3 8a 86 a6 8a 38 43 
48 38 43 47 34 71 a3 4a 43 a3 
17 1a 17 1h 14 5h 8h 12 84 1h 
51 56 57 16 1h 53 61 65 15 21 
48 12 41 81 84 14 18 21 48 12 
51 56 16 21 84 12 81 82 12 41 
8h 12 71 24 81 58 15 17 21 57 
25 15 61 68 18 21 45 12 41 51 
54 14 52 75 12 41 57 65 14 81 
85 86 56 16 21 58 25 15 21 27 
17 21 45 12 41 51 54 57 a5 1a 
17 a1 4a 74 a7 14 6a 61 a1 47 
8a 68 a6 74 1a 16 71 41 47 17 
14 71 a6 14 81 2a 18 61 68 18 
41 a2 17 81 6a 74 18 61 a1 47 
8a 81 a1 74 8a 86 48 a6 84 78 
48 47 87 84 18 8a 28 74 16 82 
18 68 61 81 86 28 16 82 78 48 
47 87 84 78 a6 84 18 2a 81 68 
61 81 48 a2 87 18 6a 74 81 68 
a8 47 1a 18 a8 74 5a 85 81 51 
85 86 28 56 25 85 28 23 27 23 
23 25 2h 72 47 24 12 16 26 72 
47 24 12 13 71 23 72 12 71 75 
15 21 25 72 15 71 78 21 72 82 
87 18 12 71 82 58 45 17 21 84 
28 18 71 21 27 82 81 78 21 72 
82 58 45 84 68 63 83 58 45 84 
28 27 52 87 58 28 52 51 21 82 
81 78 21 72 82 18 41 84 28 27 
52 87 58 28 72 52 85 82 78 52 
15 41 54 35 36 56 15 41 87 48 
18 14 54 85 81 28 41 82 48 18 
51 a5 75 1a 81 84 18 57 a1 75 
84 18 41 84 28 6a 63 57 82 48 
a3 75 84 28 8a 18 41 84 28 a8 
57 1a 41 a4 75 2a 25 82 a5 28 
12 41 24 82 85 18 25 12 82 18 
15 85 28 25 12 85 68 21 62 82 
18 8a 28 26 42 54 25 12 86 18 
28 62 a8 26 82 8a 81 68 a1 86 
18 28 62 2a 82 81 68 21 62 82 
78 a2 7a 67 6h 3h 32 2h 5h 45 
4h 3h 23 2h 27 12 4h 21 72 2h 
72 76 26 72 71 7h 17 2h 12 72 
17 5h 71 27 21 62 71 67 27 12 
3h 21 72 76 17 26 12 72 17 5h 
71 27 21 62 71 67 27 12 52 51 
21 25 72 76 17 75 17 26 12 72 
57 7h 27 21 62 71 67 27 12 51 
25 72 76 17 26 12 72 17 3h 71 
27 21 62 71 67 27 32 2h 72 76 
17 26 12 72 17 2h 27 52 2h 72 
71 67 21 62 72 17 51 75 27 26 
12 76 17 27 12 7h 72 67 36 73 
27 21 62 71 67 27 52 2h 52 7h 
25 12 76 17 27 62 32 36 26 23 
72 71 67 73 67 21 62 64 24 12 
74 17 27 42 16 31 12 41 31 21 
23 72 13 57 25 72 76 17 14 61 
21 62 68 46 28 42 62 86 72 17 
32 68 36 18 31 61 26 61 26 78 
17 76 17 67 62 36 16 21 7h 76 
27 67 62 12 71 76 27 16 21 71 
67 62 63 56 23 73 17 65 86 71 
87 67 16 12 81 32 63 76 71 27 
61 26 76 17 24 82 51 75 67 64 
16 74 17 28 42 57 65 86 34 2h 
72 71 47 21 42 73 47 27 12 68 
16 26 72 18 61 32 68 26 18 31 
61 36 26 32 72 57 62 12 85 78 
27 26 76 27 43 84 17 61 17 61 
63 86 46 74 73 43 84 72 87 47 
64 31 67 26 36 16 13 61 13 61 
62 76 46 74 12 61 64 26 14 21 
61 46 78 47 67 36 6h 76 74 87 
54 65 46 78 47 67 16 48 74 78 
37 48 34 74 37 41 47 54 72 73 
27 67 86 6h 76 17 45 34 12 81 
43 84 62 86 46 74 16 21 47 54 
4h 74 42 64 17 61 41 74 73 17 
43 24 71 27 47 14 16 71 46 34 
13 51 65 37 32 72 47 64 14 71 
73 47 13 21 74 27 17 41 46 74 
16 31 43 54 65 37 13 71 72 67 
12 31 47 24 12 31 41 74 68 36 
78 17 48 24 71 27 76 87 23 62 
42 84 74 27 26 82 63 73 47 42 
54 4h 14 72 37 25 71 37 47 14 
16 21 28 32 46 74 72 67 46 84 
72 57 54 15 41 75 27 14 61 76 
27 17 41 48 74 67 18 71 47 64 
42 84 63 86 46 24 14 71 72 47 
14 31 72 57 7h 47 41 24 41 24 
74 67 68 46 14 78 47 64 16 76 
47 41 64 76 87 12 58 75 27 23 
47 7h 62 84 27 82 76 71 67 71 
37 28 52 48 14 17 47 84 25 82 
61 42 71 1h 16 74 67 56 58 28 
25 41 85 6h 12 74 86 21 52 17 
41 54 24 12 13 71 46 23 1h 62 
31 24 32 12 41 27 45 68 15 23 
7h 84 36 51 52 45 15 63 2h 34 
51 56 68 18 43 7h 82 86 31 26 
13 6h 34 65 4h 57 78 8h 8h 3h 
5h ah 
