2
3a 31 a6 7b 7a 74 b6 5b 53 a5 
b5 57 5a 5b 53 a5 b5 51 64 6b 
6a 65 64 85 61 86 8h 7h 64 28 
52 a6 b6 71 7b 75 48 36 25 2a 
b2 84 37v2 67 3b 31 37 53 b3 76 
26 2b 32 35 25 23 2h 2h 4h 4h 
53 a2 52 32 35 1a 1h 4h b3 84 
13 25 48 16 52 36 84 8b 83 86 
a6 b8 3a 3b a3 48 25 3a b3 a3 
63 6h 61 8b 8a b8 52 16 84 25 
36 4b 48 4h b8 45 4b 34 41 b7 
61 52 a3 54 16 1b 1h b5 8a 8b 
a3 65 61 67 17 b8 16 1h 8h 7h 
1a 1b 18 b1 1h 8h 76 18 5b 5h 
3h 67 a2 5a 5h 57 65 6h 4h 32 
a3 8a b8 75 76 41 4b 4h 4h 8h 
ah 3h 2h 5h 2h 6h 5h 4h 2h 5h 
2h 7h 6h 2h 7h 6h 2h 1h 6h 2h 
1h 7h 6h bh 2h 1h 7h 6h 
