3
21 38 5a 3b 3c a7 3a 36 b5 1b 
15 14 b5 35 6b 65 b5 3b c3 13 
1c 18 a8 4a 48 4h 43 24 a8 4a 
45 46 a5 4a 4h 5h ch 7c 74 c4 
7c 7h 7h 4h 4h ah 24 26 76 5a 
5h b6 5b 57 b7 5b 56 b6 5b 52 
53 56 5h 54 15 13 b2 8b 81 83 
13 b3 81 8b 84 b4 8b 82 8h 3h 
85 76 81 78 7h 1h 68 14 67 62 
61 6h 21 71 27 26 76 c5 27 2c 
b2 7b 27 c7 2c 2h c2 7c 72 c2 
3c 34 37 3h c4 5c b2 5b 54 25 
2h b4 6b 65 b5 6b 62 b2 6b c4 
7c 67 b7 6b 6h 6h 6h 1h ah 4h 
8h 4h 8h 4h 1h 4h 5h 4h 5h 4h 
5h 4h 4h 4h 7h 4h bh 1h ch 2h 
2h 3h 2h 2h 3h 7h 3h 
