2
4a 43 72 5b 45 46 16 b5 85 a8 
1b 14 74 74 18 7a 78 17 18 b1 
86 75 37v2 53 1b a1 51 56 31 5a 
5h 1h 21 a8 13 16 1a 51 5h 58 
a8 25 35 68 38 53 38 35v2 3h 8a 
8h a5 86 56 5a b5 3b 13 37 25 
35 b1 71 3b a3 75 68 4a 4h 4h 
42 15 47 14 a1 54 7a b7 45 25 
3b a3 52 54 24 1a b1 81 8h 4h 
6h 2h 74 18 86 52 a7 83 81v2 1b 
1a 31 3h 2h 84 8h 6h a8 7a b8 
61 25 63 13 68 26 42 67v2 6b 62 
6h ah 2h 3h 2h 3h 2h 3h 4h 3h 
1h 4h 45 38 67 b1 83 54 2a 2h 
2h ah 3h 8h 4h 3h 5h 4h 3h 8h 
5h 4h 3h 7h 8h 5h 3h 7h 8h 3h 
1h 7h 8h 5h 
