2
2a 52 a3 8b 82 8h 53 8a 87 b8 
83 78v2 78 7b 73 b7 72 a7 4b 46 
4a b4 72 47v2 4b 14 b5 71 47v2 48 
83 5b 54 58 b4 43 6b 64 68 b4 
46 25 21 51 2b 24 27 12 a1 4a 
b4 54 15 21 2h 7h 2b a2 b5 8a 
8b 75 51 b8 a8 42 67v3 6a 86 36 
15 34v4 34 3b 38 53 81 51 35 3h 
7h 3h 6h 7h 5h 5h bh 7h 5h 5h 
6b 68 63 67 6h 7h 83 a6 64 15 
1h 1h b3 6a 6b 67 68 6h b7 12 
47 48 a8 7b 7a 7h 21 2h 36 3h 
a8 3a 12 b8 5b 5h 74 52 13 17 
15 1h 37 13 1h 6h bh ah 2h 8h 
2h 8h 2h 1h 8h 1h 8h 2h 4h 8h 
7h 2h 4h 7h 2h 4h 5h 8h 2h 4h 
3h 2h 
