2
1a 15 1b 12 b1 4b 74 b7 24 38 
3b 34 35 a3 b3 51 7a 7b 72 76 
71 7h b7 5b 51 a7 21 2h 3h 82 
58 31 3h 1h 13 5a 58 a5 82 16 
5a b5 28 a5 15 36 3b 65 82 8a 
83 8h 8h 5h a3 82 23 4a 4h 5h 
85 a8 84 68v2 6h 32 6a 6h 61 6h 
b6 5b 5h b6 65 2b 2h b6 81 a8 
7b 7a b7 6b a6 78 27v2 86 8a 28 
23 82 b8 37 87 a8 2b 2a 68 73 
b2 6b a6 26 43 4h b2 4a 4b 45 
4h 42 b2 a4 6b 6h b6 28 2a 2b 
b2 78 82 51 5h a8 15 1h 51 2b 
2h 54 b7 37 3h 28 14 1h 1h 1a 
1b 12 1h 6h 7h 4h 7h 4h 7h 4h 
7h 4h 7h 4h 7h 4h 7h 3h 2h 4h 
ah 8h 4h 2h 8h 4h bh 2h 8h 4h 

