2
8a 13 7b 71 76 a6 3a 37 36 31 
32 3h 53 a7 3a 35 43 a5 4a b4 
a4 1b 1a 12 1h ah 1a 12 13 18 
b2 51 5b 53 51 b3 1b 13 b3 4b 
41 b1 4b 47 47 4h 5h 57 a5 8a 
43 84 a4 8a b8 1b 18 b8 6b 61 
68 18 61 b8 1b a1 4a 41 24 23 
43 a1 24 2a 27 a7 2a 47 b4 2b 
21 a4 2a 2h 7h bh 6b 6h 1h 28 
52 54 65 65 24 12 64 16 26 32 
3h 14 61 64 14 76 36 71 31 37 
17 67 13 81 63 86 16 41 4h 3h 
3h 46 4h 4h 3h 3h 8h 3h 8h 3h 
35 43 48 4h 5h 84 34 a3 8a 83 
8h bh 8b 8h 5h bh 3b 38 43 b8 
a8 48 74 38 7b 7a 73 a3 7a b3 
43 74 a4 7b 7a 75 7h 2h 1h 7h 
3h 3h 6h 3h 6h 3h 6h 4h 8h 4h 
8h 8h bh 8h 5h ah 8h 5h 8h 
