3
1a 61 38 3b 3c a3 4a b4 c6 71 
14 1b 1h 1c 13 c4 5c 15 65 b6 
71 7b 7h b1 7b 73 c7 63 16 a1 
7c 31 36 b7 87 38 63 68 86 36 
2a 42 3b 23 24 b8 34 3b 23 b3 
87 43 2b 2h 5h 1h 5h 2h 2h 5h 
34 c1 2c 54 52 c2 78 32 68 45 
18 53v2 b5 6c 6b 62 a6 b7 34 5a 
5b c5 32 8c 83 8h 57 45 4h c3 
8c 8h c1 52 24 87 2c 2h 17 b5 
a5 42 46 c1 4b 74 7h 21 26 3a 
3c 16 b3 1b c1 a1 3c 48 b3 2a 
2h 63 4b 4h 4h 5h 1h bh c4 1b 
3c 31 3h c3 1c b1 5b c5 2c b2 
35 c3 56 87 63 a5 1b 64 34 8c 
8h 8a 81 b8 3b 87 8h 86 8h 8h 
2h 7h 4h 7h 4h 7h 4h 7h 4h 7h 
4h ch 5h 7h 4h 7h 4h bh ah 7h 
4h 1h 6h 7h 4h 6h 7h 
