2
1a 8b 84 86 87 a7 8a 8h 38 6h 
8h 68 a6 2a b6 86 7b 78 b8 7b 
74 72 7h 76 72 b2 67 8b 82 b2 
6b 68 b8 78 67 6b 64 b4 6b 61 
74 37 31 71 a7 b7 8a 8b 84 b4 
a4 2b 26 2a 28 a8 68 2a b8 6b 
26 27 2h a6 3a 23 23 2h 4h b2 
8b 82 b2 8b 86 b6 4b 43 48 38 
34 84 b4 1b 83 18 15 85 b5 28 
26 2b 32 86 38 28 42 48 28 42 
43 23 82 83 23 82 84 68 24 62 
82 68 b6 2b 28 62 82 86 38 34 
84 38 b2 83 68 8b 68 b8 2b 28 
b8 2b 42 43 23 b2 8b 82 b2 8b 
86 28 b6 82 68 3b 86 28 34 82 
38 48 43 83 84 68 b3 86 28 26 
86 38 34 84 68 62 82 68 2b 28 
26 32 b8 23 82 86 26 32 8b 68 
23 62 82 68 b6 8b 68 b6 4b 43 
b3 2b 28 62 b8 26 4b 42 b2 8b 
86 b6 8b a8 4a 48 a8 2a 28 a8 
b2 4a 47 45 a7 2b 3a 38 a8 3a 
32 a2 8a 82 a2 8a 83 a3 8a 87 
a7 4a 84 38 37 87 a8 5a 85 a8 
2a 27 a7 8a b8 5b a5 8a b8 2b 
23 b3 7b 73 b3 8b 42 48 41 28 
42 b2 8b 84 b4 a8 6b 68 b8 2a 
52 a5 3b 37 b7 5a 5b 51 b1 21 
a2 8b 86 8a 68 b8 1b 21 b2 6b 
a6 8a 86 28 a6 12 81 28 5a 12 
81 58 a8 58 54 1a 18 28 21 82 
b5 21 82 1b 18 21 62 65 25 82 
a2 18 28 21 82 1a 28 12 a2 82 
1a 28 b2 6b a1 3a b6 3b 34 b4 
1b a4 6a b1 3b 32 63 a3 28 6a 
68 36 a8 63 16 3a 38 13 63 16 
a8 1a 14 74 1h 16 51 58 18 61 
47 16 51 56 54 52 65 15 61 62 
56 51 25 61 26 56 15 4h 74 8h 
51 65 47 81 1h 56 15 81 58 15 
74 5h 15 16 21 56 25 15 61 23 
62 12 61 65 26 21 52 61 56 26 
12 53 15 47 82 85 25 28 52 28 
62 63 56 23 82 74 26 82 62 65 
26 47 58 68 46 25 42 62 56 13 
41 65 26 85 14 81 83 13 51 13 
51 24 72 74 24 82 67 46 67 46 
15 81 21 72 64 36 2h 52 62 16 
23 25 82 12 51 56 45 74 57 65 
15 21 61 56 28 12 52 45 18 21 
74 12 71 41 47 57 15 62 46 51 
35 5h 15 16 21 56 25 15 61 28 
62 12 51 64 86 56 85 36 13 21 
24 62 14 61 21 82 52 15 16 41 
74 17 61 51 25 65 16 15 41 65 
