2
1h 7a 7b 37 a7 6a b6 87 4b 41 
b7 12 4b 34 b2 67 6b 68 8h 63 
64 a6 86 18 28 1a 18 15 13 b1 
68 26v2 52 1b a1 41 5a 5h 8h 52 
51 53 45 a4 34 64 72 84 8a 86 
87 8h 8h 2h b8 a6 27 8b 21 46 
43 2a 28 2h 25 2h 7h bh 1h 84 
23 48v4 38 68 71 41 a2 12 7b 7a 
74 17 15 75 45 74 7h 27 a5 6a 
6h 41 a4 6a b6 8b 8h 65 b6 7b 
7h 4h 5h b2 8b 87 84 8h 74 57 
5h 3h 1h b4 51 6b 36 3h a8 7a 
37 b3 34 7b 15 17 1h b1 6b a6 
1a 31 3h 4h 2h 4h 2h 4h 2h 4h 
2h 8h 4h 6h 1h 2h 8h 5h 2h 8h 
5h bh 2h 7h 8h 5h ah 8h 5h 8h 

