3
2a 2b 25 62 64 6c 68 61 78 7h 
75 76 7h 73 a7 56 51 58 28 35 
62 21 7a 27 24 b4 16 67 3b 32 
c6 83 2c 71 38 32 3h ah 3a 3h 
17 a4 c3 71 2a 74 53 b2 5c 5b 
58 c7 a7 42 b5 7c 7a a7 5b c5 
85 7a 12 83 8h 21 8c 87 7h bh 
1h a7 8b 8h 37 c8 7a 7c 38 a8 
c7 58 5a 8c 8h 2h ah 83 1a 15 
1h a5 21 37 51 8a 24 b8 73 42 
6b c6 7c 15 12 52 17 18 1h 2h 
71 b7 14 1h 7h 6h 1h 3h 2h 3h 
3h 2h 3h 2h 3h a3 c7 21 38 4b 
4h 14 1h 3h 4a 4c 46 4h a2 7a 
c7 5c 45 4h 4h 2h a2 5a 76 85 
8h 1h 3h 4h 4h ch 2h bh 5h 6h 
8h 4h 4h 6h 8h 3h ah 
