1
3h 4a 74 86 8h 7h 7h 83 a8 4a 
46 a6 7a 47 47 46 48 45 a5 74 
7a 75 72 67 a5 45 6a 64 a4 74 
2a 87 84 74 37 a2 7a 37 24 a7 
37 31 34 1a 4h 42 a1 24 6a 61 
6h 42 7h 24 7h 42 4h 48 6h 84 
61 76 17 48 71 37 36 13 84 31 
83 43 48 38 34 23 28 38 13 62 
31 63 65 35 13 76 17 37 a3 25 
7a 52 71 87 25 31 83 84 34 13 
74 87 31 83 86 48 73 47 43 52 
73 17 83 18 78 57 27 25 75 24 
26 57 2h 75 2h 28 12 57 21 52 
56 26 a2 82 3a 76 34 28 a4 82 
7a 87 81 38 71 37 87 18 32 13 
83 78 72 17 82 18 78 47 42 72 
37 38 43 78 47 37 43 48 14 38 
73 78 17 38 13 13 13 16 21 28 
18 61 1h 61 8h 82 ah 28 1a 61 
65 15 81 8h 12 61 1h 61 a5 16 
21 28 18 61 1a 61 67 26 17 21 
61 26 23 12 16 71 26 72 12 61 
a2 16 21 6a 12 61 63 26 13 21 
61 56 a3 65 16 12 81 62 86 16 
21 6a 63 86 12 81 61 36 a6 1a 
18 61 63 26 13 21 61 56 8h 65 
16 12 81 62 86 16 21 2h 27 62 
68 76 28 52 67 56 26 72 5h 27 
62 51 26 52 57 27 62 17 26 a2 
71 7a 75 a5 15 1a 31 32 12 61 
3h 38 ah 83 1a 71 8h 17 21 8h 
12 71 7h 27 a6 72 67 2a 76 27 
23 62 73 87 26 82 72 67 a3 76 
27 28 52 2a 62 78 57 26 52 72 
67 5h 76 27 21 82 2h 82 2h 52 
54 25 12 72 67 15 31 a2 76 27 
13 51 54 14 21 24 52 53 14 61 
65 36 15 31 61 56 74 37 6a 16 
17 51 67 56 16 51 1h 61 64 76 
14 71 61 36 76 17 16 31 76 37 
17 61 25 32 1h 61 23 62 12 71 
73 47 13 51 63 46 76 27 23 62 
73 47 26 42 72 67 62 36 72 37 
67 26 15 31 6h 76 71 27 61 26 
76 17 24 12 72 67 13 51 64 26 
74 37 62 36 76 27 26 32 76 37 
15 31 38 71 57 7h 67 83 76 17 
27 62 13 41 6h 14 61 67 36 17 
31 61 76 8h 48 5h 15 67 46 86 
78 51 45 ah 87 68 65 76 85 78 
68 56 2a 72 5h 54 15 27 82 87 
48 27 42 82 78 51 45 7h 54 25 
24 12 13 71 23 42 52 45 73 27 
13 41 72 47 17 21 25 32 5h 23 
72 74 52 ah 37 35 75 27 24 52 
74 37 25 32 72 57 52 45 72 47 
57 25 6a 46 2h 64 76 74 27 64 
72 ah 46 47 67 26 23 42 8a 38 
68 76 72 87 62 78 ah 26 27 24 
67 1a 72 86 41 71 21 68 ah 87 
83 73 5a 12 16 38 37 61 21 87 
ah 75 73 53 1a 36 1h 32 14 23 
63 48 ah 37 35 84 53 73 3a 41 
3h 14 ah 42 2a 4h ah 3a ah 
