3
5a 45 2b 2c a2 1a b1 c4 a6 8b 
6c 6a 68 b6 78 64 7b 78 67 68 
a6 c6 25 64 2a 2c 26 2h bh a1 
7b 7a c7 a2 b2 7c 7b 76 b7 c7 
1a 1c 1b 14 c8 a8 3c 3a 35 a3 
35 32 63 37 23 57 c6 1a 1c 12 
16 6h a1 5a 51 c4 a3 5c 15 b1 
51 c4 61 85v8 8h 8h 7h 23 1a 1b 
1h b6 a6 7c 7a 7h a2 c2 6b 6h 
5c 5a 5h a6 c6 2c 2h 1h 7h 5h 
c4 61 4a 4c 42 46 4h 5h c2 a2 
7c 7h 5h c4 4a 4c 4h 4h 5h 4h 
c7 a7 4c 4a 4h 67 a6 c6 4c b4 
c3 4a 4b 4h 4h ah bh 2h 1h 2h 
1h 7h 2h 1h 7h 3h 7h 3h 7h 3h 
7h 3h 5h 7h 3h 6h 7h 3h 6h 8h 
7h 3h 
