2
8a 5b 58 21 a1 42 b5 3a 63 23 
6b 6h 26 b2 24 21 51 5h 5b 54 
28 a5 2a b2 42 85 45 25 2b a2 
4a 4h 42 34 35 45 43 4h 1h 7h 
1h 53 84 8h a8 83 8a 82 78 75 
76 a6 17 1h 68 62 6h b6 82 12 
72 8a 56 1b 17 1h 1h 36 18 b1 
8b 63 a8 4a b4 8b 54 a8 58 48 
4a 36 b4 5b 14 35 3h 4h a1 5a 
81 b5 85 8b a8 68 63 61 31 36 
3h 8h 2h 8h 1h 2h 1h 8a b8 73 
65 23 34 58 a7 32 1b 1h 81 42 
4a 4h 18 15 23 a6 b4 36 8a 8b 
81 8h 2h b5 45 a4 1b 32 31v2 3h 
7h 6h 5h 6h 6h 5h bh 3h 3h 4h 
2h 5h 2h 5h 2h 8h 5h 2h 8h 1h 
5h 2h 8h 1h 5h 2h 
