2
5h 7a 75 1b 17 18 53 13 a1 56 
5a 52 a6 53 23 34 5a 82 43 85 
8h ah 83 5a 34 a1 27 2a 2h 1h 
b5 2b a2 43 27 2a 23 b2 38 52 
a5 34 18 75 1b 61 16 43 1a b1 
51 a5 83 2b 2a b2 5b a5 17 2a 
42 a5 2a b2 62 6b 68 67 a6 57 
65v2 6h 7h 46 4h 14 b1 74 38 3h 
1a 47 35 32 52 a1 6b 6a b6 31 
3b 73 b6 3b 3h b7 3b 31 3h 3h 
bh 82 74 51 28 a3 47 45v3 4h 4h 
21 81 8h 6b 6a a3 1a 1h 7h 14 
1h a6 4a 4h 42 a4 b3 53 73 7h 
1a 1h 7b 7h b5 8b a8 3a 3h 8h 
18 1h 35 3h 8h 7h 7h 7h 6h bh 
4h 7h ah 2h 5h 2h 5h 2h 3h 2h 
1h 3h 2h 7h 3h 2h 1h 3h 2h 
