2
38 2a 2b 25 2h a6 b4 82 1a 41 
8b 86 45 b4 85 8b 84 38 32 35 
84 b8 3b 38 3h a3 67 63 6a 64 
6h 2h 2h 8h 8h 4h 68 63 24 2h 
2h b6 67 45 a6 8b 48v2 41 6a b6 
4b 41 b6 73 21 7b 72 71 b2 32 
67 6b a6 36 26 4a 23 74v2 87 63 
b2 57 36 a8 42 63 4b 58 52 82 
b4 5a 15 1h 8b a7 72 13 18 1a 
1h 5h a4 31 38 36 86 8a b8 51 
5b a5 53 5h 2a 2h a5 2a 2h 63 
b4 84 36 a8 5b 1a 1h 15 1h 13 
1h 1h 2h 2h 3h 3h 4h 24 a1 5a 
b5 8b 42 72 78 7h 5h 1h bh ah 
7h 2h 6h 2h 8h 6h 2h 3h 6h 2h 
3h 4h 6h 2h 3h 4h 6h 2h 3h 4h 
6h 2h 
