1
7h 3h 7h 7h 47 6a 46 4h a3 4a 
48 47 41 64 68 48 64 68 61 a4 
24 24 62 8a 86 a6 8a 87 a7 6a 
67 a7 1a 16 17 67 86 86 82 a7 
5a 52 56 5h 51 58 35 37 36 57 
45 43 53 45 41 51 64 65 45 34 
31 41 64 68 36 31 48 34 3h 7h 
2h a3 6a 56 58 68 a5 3a 16 13 
43 a4 15 6a 36 35 83 65 86 36 
53 a5 3a 63 68 76 38 73 63 56 
a5 3a 37 83 a7 38 53 65 16 1a 
14 a4 64 16 1a 13 16 35 1h 15 
81 25 18 71 2h 17 81 23 18 51 
53 13 21 24 28 26 82 a4 28 72 
8a 27 82 a2 1a 31 35 15 31 34 
83 14 81 31 23 21 82 31 83 23 
52 54 24 32 38 73 28 72 32 73 
71 31 23 21 82 31 83 23 42 45 
25 32 38 73 28 72 32 73 78 38 
23 28 72 38 73 23 72 78 7h 87 
5h 54 a4 78 17 8a 71 87 a7 1a 
1h 17 7h 1h 18 5h 78 7h 87 81 
71 37 32 83 72 87 82 37 13 17 
37 13 12 32 83 13 71 72 12 71 
73 87 13 81 82 71 57 8h 58 78 
57 56 85 87 38 57 35 85 78 7h 
76 57 53 45 73 47 48 78 37 58 
35 75 87 8h 84 ah 48 7a 57 4h 
75 87 84 38 31 53 81 48 78 47 
35 83 87 58 37 43 64 51 75 81 
78 58 45 75 87 85 48 75 47 38 
53 86 87 58 56 86 78 36 23 87 
28 21 81 78 31 43 87 28 57 25 
85 78 34 23 ah 32 43 8a 58 52 
65 34 63 2h 53 75 74 37 36 43 
76 47 53 25 74 27 1h 57 35 34 
23 6h 54 75 73 47 53 45 75 37 
1h 73 57 54 35 74 37 57 45 32 
73 72 47 57 25 35 13 3h 73 74 
27 6h 34 53 57 45 37 43 53 75 
8h 48 6h 63 3h 57 35 38 73 58 
75 35 63 3h 53 86 35 83 72 67 
68 36 23 1h 78 57 53 85 73 87 
13 84 68 31 74 67 54 15 53 15 
87 38 31 81 38 58 75 32 83 45 
82 18 32 53 82 48 46 56 15 36 
13 87 18 38 73 58 25 58 25 74 
27 57 85 57 85 34 83 53 75 53 
75 78 47 58 35 58 35 32 43 52 
85 52 85 73 87 57 35 81 28 87 
28 53 75 58 75 85 87 58 87 38 
52 75 52 75 71 67 51 25 51 25 
78 27 57 85 56 25 34 73 84 68 
84 68 48 75 67 47 87 84 58 74 
85 78 48 76 57 52 65 45 46 56 
86 85 28 37 13 3h 53 82 78 63 
72 37 82 68 78 67 37 83 37 23 
85 78 85 78 74 27 37 53 54 56 
45 35 43 83 58 56 25 86 38 52 
75 17 51 65 5h 75 83 28 78 17 
51 85 82 68 36 52 65 72 67 53 
25 12 74 17 84 38 27 52 45 53 
45 85 28 21 81 78 72 17 7h 37 
34 53 74 27 87 48 71 34 23 85 
48 54 56 45 86 48 58 65 64 84 
86 48 56 45 85 18 13 83 58 71 
37 71 37 65 32 63 72 57 85 18 
73 17 7h 57 35 73 27 87 38 34 
53 34 13 56 75 73 47 53 45 75 
37 86 58 32 31 23 73 27 85 38 
37 63 71 81 58 35 63 72 83 5h 
37 28 54 15 18 58 45 73 17 54 
85 87 57 35 82 48 58 75 21 71 
72 17 57 85 36 13 58 75 21 64 
84 73 17 86 38 46 83 48 37 32 
73 21 72 53 84 67 4h 25 68 78 
37 35 83 75 17 72 38 21 ah 57 
53 73 87 84 38 12 51 45 83 28 
75 37 38 53 78 17 72 35 21 8a 
87 13 82 31 71 28 1h 53 17 82 
71 35 1h 58 27 71 56 6h 13 32 
6h 27 71 2h 15 1h ah 8a ah 5a 
ah 4a ah 
