2
2a 2b 25 a7 58 48 6a 67 b6 65 
2b 24 61 6h 2h 7h 3h 43 65 b6 
16 34 74 2b 32 a3 84 61 2a b2 
7b 67 48 b6 2b 61 a2 42 4a 4h 
8h 46 a4 56 41 82 65 4a 47 b4 
6b a4 36v2 43 28 21 35 81 8a 84 
38 4h 68 b4 3b 3h 12 85 17 a6 
8a 84 85 a3 6a b6 3b 86 48 a3 
16 61 71 76 7h 7a 76 b4 54 58 
48 23 a7 16 47 87 54v3 5b 56 5h 
7h 2h 32 b3 26 2a 2b 54 a2 b5 
78 25 61 87 7a 7h 7h a3 1b 1a 
12 1h 8h 1h 8h 6h 4h a2 78 b2 
16 25 17v4 84 67 1a 1b 12 1h 1h 
5h 3h 5h 3h 5h ah bh 5h 4h 7h 
5h 2h 4h 7h 4h 7h 6h 4h 7h 8h 
6h 4h 7h 8h 6h 4h 7h 8h 6h 4h 

