2
1h 41 42 3a 31 2b 21 b1 8b 85 
81 81 82 86 48 43 83 48 b4 5b 
56 b6 8b a8 2a 28 a8 4a 42 4h 
54 a2 5a 5h 53 43 a4 53 25 2a 
24 a4 54 1a 15 12 52 a2 1a 15 
18 a5 1a b1 5b 58 b8 2b 25 28 
58 b8 35 3b 34 b4 3b 54 35 b5 
3b a3 2a b2 5b 52 b2 1b 15 b5 
1b 15 12 14 71 74 b7 3b 37 36 
16 31 3h a1 7a 73 a3 7a 75 7h 
7h a7 3a 37 53 5h a7 3a b7 6b 
64 b4 6b 63 b3 6b 62 b2 6b 61 
6h ah bh 8h 3h 1h 6a 4b 4h 8h 
43 4h 1h 4h 1h 21 2h 42 4h 7h 
12 31 32 12 83 81 86 8h 4h 7h 
4h 16 81 87 8h 28 36 17 23 21 
31 81 23 28 38 23 24 2h 2h 2h 
2h bh 5h 5h 1h 1h 6h 1h 6h 6h 
8h 6h 8h 3h 7h 7h 4h 7h 4h 7h 
4h ah 
