2
18 54 7a 1b 74 b4 7b 73 76 56 
71 57 5h 8h 53 75 b3 67 1b 17 
12 b7 6b 62 63 61 6h 4h b2 5b 
53 85 b3 2b 26 28 b6 2b 23 27 
28 23 53 68 b5 6b 65 46 b5 4b 
47 48 41 42 4h b7 4b 67 6h a4 
1a 16 a6 1a 13 17 41 46 84 16 
85 b6 45 81 84 8b 14 b1 4b 41 
84 8h b1 8b 8h 7h 38 3h 3h 41 
74 7h 3h 7h 7h bh 27 2h 6h 3b 
3h 2h 6h 52 5h 21 a2 6a 6h 62 
a6 3a 36 a6 3a 32 a2 3a 36 3h 
7h 6h a3 7a 7h 7h 2h 5h 3h 5h 
27 23 2h 62 6h 73 17 63 16 76 
17 15 1h 31 75 37 17 61 65 15 
36 31 61 36 3h 8h 4h 6h 3h bh 
ah 2h 5h 7h 5h 7h 5h 1h 5h 1h 
5h 
