3
7a 57 1b a1 35 1c 1a 12 13 c1 
68 a6 2c 2a 25 a7 c7 1a 1c 15 
a6 82 85 1a 74 a8 73 43 25 71 
1a b1 7b 76 71 81 87 48 4h 71 
c7 b1 38 7c 52 31 c7 81 67 3b 
63 73 4c b4 6b 76 c7 25 36 7c 
27 b2 63 7b a7 18 47 4h 54 b5 
45 81 36 4a 4b 46 26 b4 a4 18 
17 4b 4a 87 32 a4 54 56 78 b6 
71 81 3a 3b 36 3h c3 38 6c 6h 
b3 46 4b a4 3a 24 23 2h ch 8h 
8h bh 8h 18 2c 17 43 65 6h 87 
8b 82 8h bh 62 34 63 c8 68 71 
78 52 5h 8h 3h 34 8b 8h 3h 8c 
8h 56 57 5h 2h 1h 7h 28 2h c7 
5c 5h 8h 1h 2h 1h 2h 1h 2h 1h 
6h 2h 1h bh ch 2h 7h 1h 4h 1h 
4h 1h 3h 4h 1h 3h ah 4h 1h 
