3
7h 7a 67 41 6b 36 b6 3c 3b a3 
bh 5a c5 4b 84 2c b2 41 4b c4 
82 47 4c 4h a4 65 63 53 4a b4 
6b 6h c6 4c b6 56 52 5b 15 a4 
14 36 54 51 5a b5 a8 1b 1a 51 
a5 b5 45 1a 1b 16 18 1h 6h 1h 
63 6h 12 54 b1 21 a2 36 12 1b 
1a 45 a1 63 b1 82 4a 4b a4 36 
8a c8 85 8c b8 48 72 58 63 7b 
74 c4 84 85 45 48 65 a4 7c 24 
35 b7 36 3h 3h 4a 4h 4h a3 5b 
5h 5h 2h 5h 4h 5h ch 3a 6c 6h 
42 21 58 c3 a4 8c 8h 2h 4a 27 
b4 3b 23 72 73 23 27 2h ch 5c 
5h 28 2h ah 4h 85 37 3h 12 1h 
ch 7h 2a 2h 6c 6h 6h bh ah ch 
2h 5h 2h 1h 5h 1h 8h 5h 7h 8h 
5h 7h 3h 5h 
