2
4a 42 a3 7b 7a 74 a1 6a b6 78 
7b 73 a7 47 4h 5h 4a 4h 35 48 
a5 64v2 53 64 61 35 26 2h 26 2a 
2h b2 53 21 2h 81 5b 56 a2 18 
53 2a 76 7h a2 81 8h 8a 8h 35 
b7 37 38 57 2b a2 58 5a 83 73 
78 a5 b7 45 12 2a 2h a4 1b 1a 
71 a1 b1 87v3 4a 84 8b 37 15 b8 
45 18 25 1b 14 15 4h 14 b2 52 
a2 73 25 81 6b 6a 68 6h ah 6h 
37 84 2a 2h b8 73 63 6h 37 a6 
4b 4a a4 5a 5h 4h 6h 7h 2h b4 
a6 51 3b 3a 32 37 a2 1a 1h 7h 
b2 8b 38 3h 8h 3h 5h 2h a8 3a 
3h bh 6h 4h 8h ah 1h 7h 1h 7h 
1h 7h 1h 5h 7h 1h 2h 5h 7h 1h 
2h 5h 7h 1h 
