3
1a 41 86 a4 2b 2c 2a 27 c7 26 
8c 87 c8 5c 57 a5 25 23 86 b2 
3a 3b 31 78 73 83 87 8h 37 a8 
2a b2 82 48v2 46 c4 8b 8c 73 b8 
48 4b 45 4h ah 3a 3h 86 b4 24 
32 3h 68 53 a7 86 2b 52v2 68 21 
31 15 c2 82 26 3a 35 75 b8 58 
7c 7b 74 7h 72 85 b3 c3 7b 7c 
83 53 a7 51 5a 5h 5h a7 3a 3h 
24 c8 3c 3h 4h c5 b2 7c 7b 13 
c7 5c b5 17 8b 15 75 b8 2b c2 
8c 71 51 b8 64 c7 8b 15 a8 35 
3c b3 2a 17 12v2 8b 18 14 1h 5h 
4h 1h 1h bh 3h 5h ah 5h 4h 4h 
5h 4h 5h 4h 8h 5h 64 6h 6b 6a 
61 63 6h ch 4h 7h 4h 7h 4h 6h 
7h 4h bh 6h 7h 4h 2h 3h ah 7h 
4h 2h 1h 4h 
