3
43 3a 3b 38 3h 83 18 5c 56 a1 
56 56 2a c2 5c 54 b5 15 c1 36 
5b 5c 83 85 c8 b8 5c 64 7b 75 
c7 58 78 46 b5 78 64 67 47 34 
5c a5 2b 2a 25 26 a2 c2 3a 38 
63v2 6h 8h 2h a6 5c 5a b2 15v2 1b 
c1 61 65 b5 6c 62 c6 85 26 5b 
5h 2h b2 8c 8h 4h 74 25 2h 81 
73 82 8h 78v2 2b 17 43 c2 52 57 
51 b5 71 34 5c 21 38 48 c5 2b 
17 43 b2 4c 4h c8 83 4b 4c 4h 
65 6h 63 c4 a6 72 7h 46 27 16 
14v2 1c 31 51 38 1a 1h 72 7h b5 
83 1b 1h 1h 1h ah 2h bh 7h 3h 
6h 7h 8h 3h 6h 7h 8h 3h 6h 7h 
3h 6h ch 7h 8h 3h 6h 5h 8h 4h 
3h 6h 8h 3h 6h 8h 4h 3h 
