1
2h 6h 6h 4a 64 56 75 78 a6 5a 
58 35 a8 7a 7h 3h 71 a7 37 31 
32 57 53 52 61 5a 57 65 15 16 
17 56 57 35 67 53 65 61 51 35 
71 65 36 3h 4h 73 4h 13 17 37 
31 53 56 36 71 15 13 57 15 16 
17 35 83 81 31 53 56 36 85 13 
15 35 73 76 36 53 51 31 83 53 
15 13 53 85 25 42 42 82 4h 45 
25 48 34 31 41 34 35 13 14 34 
63 67 37 43 41 31 83 45 14 15 
45 84 82 86 28 76 82 78 34 73 
83 18 63 6h 67 5h 15 76 1h 67 
41 6h 14 8h 18 15 21 5h 12 31 
48 13 71 76 16 31 36 16 71 3h 
23 84 32 73 13 21 48 12 a1 84 
3a 37 63 a7 48 3a 63 a3 84 6a 
67 48 a7 84 3a 37 63 a7 48 3a 
63 a3 84 8a 38 36 23 86 28 38 
23 21 31 83 81 28 31 23 3h 23 
25 2h 21 72 2h 72 2h 72 76 26 
72 2h 72 5h 27 62 2h 72 5h 27 
62 67 27 62 2h 72 2h 72 76 26 
72 5h 51 6h 27 62 27 62 72 76 
26 27 62 27 62 72 15 5h 76 2h 
67 5h 15 2h 72 26 72 73 67 63 
73 57 71 57 26 52 72 67 64 26 
74 57 34 27 32 67 36 58 15 57 
15 63 16 56 75 56 75 23 62 25 
62 52 56 25 56 75 51 35 21 62 
21 62 67 36 27 12 27 12 72 63 
16 53 15 65 26 25 42 6h 76 23 
72 62 56 71 57 27 25 72 25 32 
24 32 71 57 71 57 17 58 35 18 
68 16 53 15 65 76 42 75 37 47 
27 24 72 24 72 73 57 67 36 26 
42 2h 72 75 67 25 42 74 87 58 
75 47 43 23 42 62 36 62 36 76 
57 34 63 26 32 43 85 78 67 63 
56 73 57 67 36 23 62 76 75 37 
65 36 34 23 64 56 34 23 43 74 
87 68 46 34 32 53 73 57 62 36 
37 23 67 26 36 73 51 65 46 54 
75 71 47 51 45 65 81 64 86 74 
17 18 78 17 67 16 87 38 73 61 
76 36 53 71 67 61 46 71 47 37 
43 75 73 87 32 34 23 63 16 6h 
16 81 76 37 61 68 56 63 16 68 
46 52 15 64 16 72 17 67 36 57 
25 63 86 6h 36 62 76 53 75 65 
36 34 53 71 47 27 62 16 56 85 
5h 75 36 23 24 34 83 63 72 37 
52 45 68 78 27 74 27 57 45 74 
36 57 86 7h 63 65 35 43 58 72 
47 37 23 34 83 56 75 36 43 53 
45 3h 75 87 52 67 81 61 71 76 
27 32 13 75 31 6h 57 23 35 13 
68 16 36 53 54 65 68 58 74 32 
2h 16 45 47 83 86 36 83 57 65 
63 53 75 61 57 18 24 3h 76 35 
42 31 83 51 38 74 64 1h 15 83 
58 31 2h 47 7h 16 85 51 68 1h 
83 3h 42 2h 1h 4h 8h ah 
