2
1a 1h 1b a1 b5 4a 4b 41 42 48 
42 42 78 a4 56 7a b7 84 8b 87 
8h 4h 8h 4h 65 82 83 68 58 b3 
64 6b 67 b1 85 43 46 31 64v2 6h 
36 3h 38 85 6b 14 1h a6 b6 58 
26 2h 1a 1h 85 27 2b 2h b8 2b 
32 32 a3 43 4h 7h 7h 1h 1h 18 
b4 85 72 1a 21 7b 71 7h 3h 7h 
b7 58 27 4b a4 6a 6h 24 74 72 
a7 85 42 61 b6 24 3a 3h a3 1b 
1h 6h 58 1a 1h 8h 85 42 b6 1b 
1h 15 58 5h 41 4h 21 b4 7b 12 
a7 1a 42 51 54 58 5h 4h 54 5h 
5h bh 3h 6h 2b 25 2h 23 26 72 
b7 34 75 2b 2h 2h bh 8h 5h 8h 
5h 8h ah 1h 8h 4h 8h 4h 6h 8h 

