2
1a 51 5b 56 48 71 75 a7 76 28 
2a b2 72 7b 74 54 57 52 2h a7 
b5 86 15 1a 1b 18 68 b1 a1 86 
51 5b 41 68 67 b5 6a 6b 61 bh 
2h 8h 13 4b 4h 2h 8h 2h 8h 1h 
23 63 16 81 82 84 85 8h 18 1h 
b5 61 8b a8 24 6a 26 26 b2 15 
8b a8 78 51 2a b2 15 72 74 51 
82 56 4b 4h 31 b7 27 35 5b 78 
35 35 3h 7h ah 2a 45 32 a3 32 
b3 54 7a 7h 6h 4h 45 47v2 4h 3h 
1h 8h a2 25 85 1b 1h b3 1a 1b 
12 18 1h 86 b8 3b 43 26 a8 b2 
3a 61 6h 7h a3 6b 6h 81 57 b6 
16 1a 1b 18 1h 8h 3h 4h 2h 7h 
6h 7h 6h 7h 6h 7h 6h 7h 6h 7h 
6h 7h ah 6h 7h 5h bh 7h 
