1
15 13 78 76 7a 76 7h 46 a7 5a 
57 a7 17 5a 53 18 56 5h 5h 8h 
3h 15 41 a5 1a 16 13 71 74 a6 
7a 14 71 a1 4a 41 a1 4a 74 a7 
1a 17 a7 27 1a 14 a4 7a 71 74 
14 a4 6a 61 a1 6a 62 a2 6a 65 
a5 6a 76 17 12 72 61 67 6h 6h 
64 61 a6 1a 17 41 a7 14 81 4a 
18 41 47 17 41 a7 14 81 6a 86 
16 a1 8a 86 85 81 68 8h 8h 48 
3h 84 68 6h 46 3h 37 32 37 35 
64 36 2h 62 36 35 23 25 35 a3 
63 46 4a 43 a3 63 46 4a 42 52 
4h 25 4h 14 8h 78 41 54 8h 78 
42 74 84 78 73 83 48 43 74 83 
28 8h 78 48 14 76 37 2h 73 87 
86 28 41 64 58 52 82 85 18 25 
46 24 81 68 78 27 47 24 21 41 
74 71 87 41 64 78 57 2h 75 17 
46 84 24 86 48 28 46 84 24 86 
48 46 14 86 18 36 48 14 78 17 
47 84 12 81 63 87 68 38 36 86 
83 78 63 18 71 48 64 72 67 58 
12 61 85 71 87 41 84 82 68 42 
64 72 17 84 18 78 47 17 81 87 
68 48 74 14 71 78 47 18 21 74 
27 17 51 34 17 81 4h 75 18 41 
48 24 38 13 71 74 87 14 81 71 
47 57 54 74 75 17 18 41 15 41 
78 47 17 81 42 74 38 72 37 87 
42 34 84 74 83 73 47 13 81 74 
87 17 41 86 28 34 13 41 82 48 
18 71 41 54 4h 84 81 68 78 17 
47 14 18 71 74 87 14 81 86 38 
8h 48 83 68 71 47 41 24 71 27 
47 34 4h 74 72 17 42 14 74 17 
18 41 47 24 37 13 71 42 74 14 
81 71 47 41 24 71 27 47 14 86 
28 31 43 74 78 17 48 14 74 87 
58 75 47 41 84 71 87 47 34 4h 
74 13 47 14 82 78 72 17 82 68 
47 24 18 21 51 45 14 12 81 86 
78 16 21 41 24 76 27 47 14 17 
61 38 31 81 83 18 83 18 16 71 
41 74 86 18 14 61 84 68 18 41 
72 47 42 64 72 87 12 61 84 28 
52 85 48 78 27 41 84 81 28 78 
17 47 34 4h 84 82 78 42 14 37 
34 84 78 73 47 83 58 25 82 48 
38 73 27 41 84 81 28 78 17 47 
54 52 42 84 85 78 45 14 87 28 
41 24 54 85 48 42 34 31 82 38 
18 78 13 73 87 43 24 78 27 16 
21 47 24 7h 71 87 42 34 73 87 
86 28 76 17 46 24 71 27 47 14 
18 61 36 13 81 41 74 84 18 14 
61 84 68 72 67 18 51 1h 81 76 
47 18 41 71 87 86 18 76 47 81 
38 8h 18 63 74 27 14 61 84 68 
18 41 72 87 54 15 41 78 47 17 
81 86 48 42 64 82 68 48 74 18 
21 47 34 4h 34 7h 43 24 14 81 
74 87 17 51 1h 71 78 47 18 41 
71 37 7h 17 14 81 13 81 31 86 
28 36 16 82 38 74 67 68 78 27 
63 13 41 83 14 81 86 48 16 41 
81 68 47 14 38 17 61 31 81 83 
18 83 18 16 71 41 74 86 18 14 
61 84 68 18 41 72 47 17 31 1h 
71 74 27 54 15 41 72 47 17 81 
42 74 72 37 42 34 74 37 48 47 
54 76 73 67 17 21 1h 71 87 45 
34 86 28 43 24 16 21 41 74 81 
68 47 54 4h 74 46 14 87 18 48 
74 73 87 12 31 61 46 24 84 58 
8h 18 74 67 63 73 57 47 16 71 
86 38 45 15 61 13 61 81 38 13 
74 81 54 1h 47 48 78 37 85 16 
31 71 67 73 57 84 18 74 37 87 
38 7h 18 51 86 41 52 42 12 14 
61 76 27 18 72 4h 81 67 78 27 
45 24 74 87 83 48 45 85 13 76 
6h 24 38 31 57 54 74 57 81 48 
47 87 18 42 81 25 63 7h 14 78 
36 72 57 82 75 13 43 2h 28 57 
85 72 6h 31 1h 24 58 82 45 2h 
57 7h 36 6h 2h 3h 5h ah 
