3
5a 51 25 2b 2c 27 c4 b8 52 5c 
5b 53 b5 c5 6c 62 32 62 35 3b 
31 35 a3 6a 61 6h 32 c6 14 56 
3c b3 54 23 75v2 74 64 17 1h c1 
21 5b 5c c5 46 a5 75 12 64 7c 
37 3h 6h 6a c6 73 7c b7 c7 6b 
32 1c 16 a1 c6 3a 41 8c 83 82 
2h 8h c3 48 45 47 54 84 57 87 
8c 83 a8 63 c6 2a 2h 28 6c 75 
b6 14 15 1h ah 4h 4h 1b 1h 23 
21v2 32 8a 8h 83 a8 6a c6 8c b8 
4b 4h a8 6a 54 57 b6 47 45 4b 
41 4h 4h ah 6h 3h 3h 21 2h ch 
7h 1h 7h 5h 3h 1h 7h 5h 3h 1h 
7h 5h 3h 1h 7h 5h 3h 1h 7h 5h 
3h 4h 7h 5h 3h 8h bh 7h 5h 8h 

