2
7a 75 3b 73 a3 8a 81 a2 16 56 
85 8a 87 8h 25 b8 2b 82 a8 b8 
1a 61 74 7b a7 67 6a 65 64 a4 
26 74 14 1a 16 a7 58 56 1a 16 
86 15 1h 68 47 a1 86 35 2a 28 
2h 25 b2 25 53 43 52v2 5h 4b 42 
4h 7h 8h 7h 8h 7h 8h 54 37 3h 
8h 73 7h b8 72 38 a7 4b 4a 4h 
45 34 75 a7 1a b7 32 42 43 67 
8b 81 84 8h 6h 23 2h b1 65 63 
8b a8 6a b6 58 43 a4 85 1b 1a 
a3 54 b1 36 8a 16 74 32 38v4 3h 
4h 6h 31 4b 4h 41 4h a3 28 6a 
6h 47 68 6h 4h 4h 35 3h bh ah 
1h 8h 1h 7h 8h 7h 2h 8h 3h 4h 
2h 8h 4h 2h 5h 8h 4h 2h 5h 8h 
5h 8h 
