2
6h 8a 18 5b a5 72 27 24 84 58 
5a b5 a3 81 2b 2a 2h 2h 28 a6 
b2 5a 5b 5h 25 b2 53 a2 6b 6a 
63 6h 7h 2h 65 76 7h 75 25 b2 
85 8b 87 87 b8 2b 37 a2 b2 14 
1a 1h 17 61 14 57 42 4b 46 15 
14 78 a1 b6 24 21 26 2a 2b b2 
5b a5 87 52 41 62 45v2 4a 41 4h 
bh 24 46 4b 78 7h 7h 62 a4 b5 
26 74 8a 8b b8 73 62 a8 15 1h 
4h 26 43 16 37 1b 56 5h 5h 7h 
4h bh 71v5 13 1h 2a 2h 87 7b 75 
74 7h b5 1b 1h 54 62 38v5 37v2 3h 
31 34 4h 2h 4h 2h 4h 2h 4h 2h 
4h 7h 2h 7h 2h 8h 2h 8h ah 1h 
2h 8h bh 2h 8h 6h 2h 8h 2h 
