2
7h 1a 1b 18 a8 b8 16 5a 3b 31 
b1 3b 35 a5 3a 3h 31 b3 1b ah 
8a b1 5b a8 5a 51 a1 8a b1 6b 
85 a5 61 b1 8a 3b 53 a8 3a 83 
53 58 38 a8 68 3a 43 4h 65 6h 
ah 61 3a 43 24 23 42 46 43 47 
42 b4 5b 53 b3 5b 5h a5 75 4a 
64 65 76 45 74 75 73 43 13 a4 
25 6a b6 7b 27 57 31 52 72 75 
25 a7 4a 13 b4 7b 27 24 74 27 
23 24 23 b7 a2 5b 45 b4 2a 8b 
86 b6 a2 3b 3a 31 a1 b1 2a 82 
6b 62 68 28 b8 4b 54 b5 2b a6 
1a 12 13 23 a3 6a b2 86 82 62 
8b 86 84 64 86 8h 85 2h b4 8b 
87 a8 68 24 b6 3a 3h 42 4h 1h 
1h 45 4h 2b 25 b5 a2 7b 76 b6 
7a 4b 47 b7 4b 46 b6 2b 74 76 
46 a2 37 34 74 31 3h 47 41 71 
6a 6h b4 a7 3b 3h 7a b7 2b 32 
38 28 a3 7a b2 5b 57 b7 2b a2 
5a 53 5h 2h 6h 8h a3 4a 72 73 
23 b4 57 56 5h 5h 76 54 6b 62 
b2 67 64 74 2b 24 b4 35 37 32 
72 52 37 34 74 25 23 24 34 54 
17 12 13 23 73 15 12 52 1b 18 
1h 1h 17 1h 1h ah 6h 6h 4h 3h 
4h 3h 32 b8 7a 4h 2h 4h 2h 28 
4h 8h 4h 8h 4h 8h 4h 8h 4h 8h 
8h 4h 4h ah 
