1
1a 85 81 a8 5a 58 a8 7a 73 53 
23 a5 4a 75 71 73 a1 5a 78 57 
a7 5a 53 5h 23 a5 7a 75 a5 8a 
87 a7 8a 82 a2 7a 72 67 a2 42 
7a 47 43 4h a7 1a 14 a4 1a 13 
a3 1a 16 15 85 85 15 a1 8a 85 
a8 6a 68 a8 7a 75 67 67 63 43 
a5 4a 46 48 64 61 41 a1 2a 26 
54 52 31 42 65 a5 3a 34 a4 14 
1a 13 16 36 a6 46 5a 25 a2 64 
31 6a 61 63 a1 41 46 43 63 13 
5a 25 24 a4 31 5a 52 a2 56 4a 
46 a6 5a 13 54 a4 3a 57 a1 4a 
47 13 a7 24 62 6a 67 26 42 a7 
8a 24 31 67 a8 56 3a 42 74 27 
a3 6a 36 42 a4 16 3a 45 14 a3 
1a 43 63 a4 64 2a 72 56 a7 6a 
46 36 34 31 a5 41 43 54 6a 13 
61 56 a3 2a 72 46 24 a2 31 27 
3a 42 14 13 43 a1 84 31 6a 65 
36 16 a5 7a 48 54 61 63 56 27 
a2 46 14 8a 43 84 a4 31 6a 65 
46 a5 3a 48 74 a3 13 47 2a 72 
74 24 68 26 a6 4a 42 84 62 67 
26 a2 6a 48 16 36 24 a7 31 72 
4a 61 27 a2 5a 54 16 13 a4 63 
6a 76 a1 6a 26 a7 4a 31 62 36 
a4 7a 16 13 a7 63 61 31 3a 36 
a6 16 1a 13 a3 2a 72 a7 63 6a 
61 a1 4a 76 27 62 45 a5 1a 16 
54 a6 36 8a 45 a4 3a 31 a1 2a 
72 61 48 34 a7 6a 64 76 27 62 
a4 5a 46 16 a5 14 6a 61 a6 5a 
64 a6 7a 27 a2 65 1a 16 a6 13 
46 7a 27 64 a2 6a 63 46 43 a4 
7a 27 a2 63 46 4a 41 a4 8a 36 
34 31 a8 5a 64 61 41 a6 7a 14 
65 76 26 27 a7 6a 62 a6 3a 41 
72 67 36 a6 2a 72 a7 4a 46 a6 
2a 72 74 24 27 a7 4a 16 42 72 
54 a7 3a 45 61 64 a3 4a 14 16 
a1 4a 74 a1 27 4a 34 a2 3a 38 
a8 6a 48 64 a4 14 6a 68 a8 26 
41 72 6a 14 a7 16 1a 46 a8 4a 
81 a1 7a 27 a2 61 7a 27 64 86 
a2 14 6a 86 a6 1a 16 a6 1a 18 
a8 2a 72 a7 8a 81 a1 46 4a 41 
84 a1 5a 48 64 a5 6a 41 64 a4 
14 1a 16 a6 2a 72 a7 1a 18 a8 
46 1a 21 72 64 17 61 68 18 48 
a1 6a 61 46 a1 6a 26 41 a1 6a 
24 56 a4 81 65 7a 47 a6 42 18 
72 6a 81 34 a7 4a 26 72 a4 67 
56 5a 43 84 a5 14 18 65 2a 26 
81 a6 3a 41 48 34 a4 6a 76 72 
18 62 67 a6 4a 27 81 a4 5a 62 
a6 4a 43 74 27 42 a3 84 5a 14 
18 48 41 54 a4 64 2a 26 a6 81 
7a 72 a2 6a 67 86 16 18 68 61 
a7 5a 26 81 72 67 a5 46 18 1a 
64 16 a6 86 8a 81 a1 61 6a 68 
16 a8 68 46 4a 45 34 a5 81 65 
8a 86 43 a6 74 27 42 6a 14 16 
46 a1 74 6a 27 42 a1 54 16 7a 
27 61 45 84 a2 5a 48 64 14 a5 
68 1a 36 a8 7a 48 27 41 34 72 
a7 64 36 81 4a 46 a4 7a 46 54 
18 a7 1a 45 24 72 47 a1 8a 84 
a4 2a 72 a7 18 4a 41 a1 7a 74 
24 27 a7 4a 42 74 a2 18 47 64 
6a 81 63 26 a3 43 72 18 2a 84 
67 86 18 46 14 a2 7a 41 68 74 
24 a2 7a 61 76 81 a6 2a 26 46 
a4 18 2a 27 a7 4a 64 a6 2a 81 
25 2h 8h 2h a5 7a 23 75 a5 4a 
64 65 45 a4 2a 62 67 86 27 52 
68 36 25 12 18 28 42 63 47 57 
36 74 27 a2 75 63 7a 56 57 67 
56 a6 3a 46 84 81 41 74 a3 2a 
72 75 25 65 12 18 56 45 a4 2a 
32 a8 6a 23 62 67 a6 1a 52 57 
67 16 a6 8a 86 a6 2a 25 82 a5 
4a 84 24 52 75 27 12 81 28 72 
57 25 62 64 24 62 61 a6 21 4a 
52 41 75 a1 3a 27 82 a3 5a 28 
52 a2 6a 16 14 64 16 18 68 a6 
4a 48 a8 6a 46 41 34 61 a6 7a 
43 54 a7 6a 76 74 24 75 62 a6 
2a 42 45 a5 8a 81 47 a4 6a 86 
16 18 68 61 a6 81 2a 27 41 a7 
52 14 75 6a 18 57 25 86 82 62 
56 42 18 54 64 16 86 81 61 68 
76 18 75 45 47 67 24 a6 8a 42 
14 a8 5a 75 a7 84 6a 16 86 81 
61 41 68 48 56 24 21 41 84 75 
24 72 62 46 48 14 16 46 54 25 
18 42 64 68 61 a6 4a 14 84 81 
41 48 54 25 27 18 a8 52 7a 57 
27 12 a5 45 6a 84 21 36 32 81 
41 34 24 12 64 36 21 32 3h 1h 
5h 8h 75 7h 7h 8h 8h 62 31 a6 
3a 3h 1h 5h 1h 5h 1h 5h 5h 1h 
1h 5h 1h 7h 7h 5h 8h 7h 4h 8h 
7h 4h 8h 7h 21 87 8h 41 63 84 
14 a6 8a 38 74 57 5h 5h 5h 2h 
83 42 4h 4h 6h 38 3h ah 3h 7h 
2h 8h 1h 5h 
