3
3h 4a 24 1b 1c 12 52 81 a2 6a 
b6 81 8b 84 b5 8b 84 b3 16 5b 
58 53 b8 51 7b 73 58 58 41 75 
a7 5a b5 75 7h 45 7b 28 54 14 
82 15 61 64 14 65 67 28 67 15 
16 a1 61 6h 45 8a 8h 28 a8 2a 
26 24 b2 6b 12 b6 a6 32 6a 6b 
54 36 13 b1 a1 7a 7b 45 81 b7 
a7 26 87 38v2 76 8a 8b 38 3h 83 
54 5h 6h 5h b8 a8 67 17 1h 5a 
5h 6h 62 28 53 21v2 86 5b 25 b2 
52 68 c5 25 81 43 42v3 8b 8c 48 
46 4h 3h 4h 7h 3h 7h 3h 7h 3h 
ah 8h 7h 2h 3h 7h 2h 1h 3h 7h 
1h 3h 7h 2h 6h 5h 1h 3h 6h 4h 
5h 3h bh 5h 1h 3h 5h 1h 3h ch 
1h 3h 
