2
6a 61 a7 2b 25 b2 73 36 3h 43 
4a 4b 4h b1 4b a4 43 27 23 8a 
84 82 a2 34 8a 85 8h b8 38 48 
4b a4 21 2a 24 2h 6h bh a2 61 
45 83 6b 63 54 6a 6h 3h a6 8a 
76 b8 18 67 45 4b a4 12 6a 15 
25 16 1h 3h a1 2a 71 b2 62 34 
17 1b 16 a1 6a 85 12 43 58 52 
82 a6 b6 76 7a 7b 7h 16 17 81 
34 3h 21 36 38 3h 68 67 87 86 
25 76 15 18 1h 7h b1 73 7h 5h 
52 a7 46 3b 3a 34 31 53 5h 47 
a7 51 23 25 67 6h 38 51 31 81 
76 b4 13 64 67 1a 1b 12 1h 38 
b2 a2 1b 1a b1 25 2b 35 76 b2 
3b 73 7h a7 17 63 52 57 5a 51 
5h 4h 8h 1h a1 71 36 45 8a b8 
3b 28 46 a3 21 81 4a 56 54 5h 
3h 4h a3 12 54 5h 6h 2h 6h 2h 
6h 8h 3h 2h 6h 2h 6h 2h 1h 6h 
bh 1h 7h 6h 1h 4h 6h 7h 6h 
