2
8a 3b 61 85 83 b1 2b a6 3a 32 
73 b6 7b 78 74 73 a2 4a 43 4h 
17 a3 1a 13 a3 4a 73 71 83 81 
47 43 48 73 17 47 14 18 48 74 
78 a7 48 2a 24 a4 2a 2h 27 17 
25 21 2h a2 4a 42 a2 1a 14 a4 
5a 52 51 a2 5a 58 5h 5h 56 45 
46 56 14 15 45 b4 1b 14 61 b4 
6b 67 b7 17 6b 61 b1 6b 68 67 
6h 2h 3h 5h 2h 3h 3h 5h 25 61 
26 2h 82 56 85 83 8h 8h 7h 8h 
ah 8h 84 7a 71 7h 25 42 4h a1 
6a 68 76 7h a8 4a 4h 54 53 43 
15 14 16 46 56 14 35 17 47 31 
34 14 54 31 35 15 31 32 12 51 
52 12 a5 3a 35 a5 31 3a 3h 3h 
4h 8h 5h 36 3h 4h 4h 8h 8h 2h 
2h 6h 2h 6h 2h 6h 2h 6h 6h 5h 
5h 7h 1h 7h 7h ah bh 
