1
5a 47 38 51 52 56 57 54 35 a7 
8a 81 87 a1 57 4a 45 46 a5 85 
4a 4h 81 45 4h 24 26 2h ah 1h 
3a 3h 42 32 14 12 42 14 16 1h 
17 a7 4a 64 a4 6a 65 a5 4a 45 
14 a5 8a 81 68 61 63 81 68 6h 
67 a3 7a 76 a6 48 7a 74 a4 7a 
73 a3 4a 43 a3 7a 74 78 48 74 
71 a8 7a 48 74 7h 2h 3h 5h 27 
25 75 27 21 2h 2h 2h 6h 3h 7h 
37 3h 78 17 1h 48 64 68 36 3h 
48 a4 3a 34 a4 5a 53 57 5h a3 
7a 75 37 a5 1a 35 75 13 17 a3 
1a 1h 1h 2h 8h 5h 8h 5h 8h 5h 
8h 5h 6h 8h 5h 5h 4h 7h 5h 8h 
3h 8h 3h 4h 8h 5h 4h 5h 8h 8h 
ah 
