2
2a 2h a7 4b 4a 47 a3 54 1a 51 
a2 37 3h 81 8a 82 8h 8h 32 73 
85 68 76 36 37 67 83 32 a8 38 
43 4a 4h 48 45 76 a4 2a 2h 3h 
67 34 b4 3b a3 2a 2h bh 76 18 
a5 2b 2a 21 ah 67 2a 2h 3h 81 
76 b3 53 18 21 a2 35 42 1b 1a 
14 17 a4 1a 1h bh 84 53 1b 14 
54 b1 7b 7h a5 34 75 1a b1 57 
67 6b 61 6h 4h b5 86 3b a3 68 
63 6h 21 43 b6 36 75 52v5 5h 3h 
1a 1b 14 1h b5 63 54 38 7b 76 
75 7h 7h 4h b6 8b 8h 87 8h 12 
1h b1 4b 84 8h 6h 65 38 3h 5h 
a6 3a 3h 48 73 74 b7 4b a4 3a 
b3 1b 72 7h 6h bh 2h ah 2h 3h 
2h 8h 2h 8h 2h 8h 2h 4h 8h 2h 
5h 8h 2h 
