1
41 4a 85 63 65 a5 1a 18 a8 3a 
38 3h 13 1h a8 7a 47 27 43 24 
2h ah 1a 3h ah 24 2a 25 65 21 
a2 3a 32 a2 4a 41 a1 4a 45 4h 
64 84 8h 82 a6 4a 42 34 a2 7a 
73 7h a3 7a 47 a4 8a 84 85 a4 
6a 68 a8 7a 76 a6 7a 7h 2h 27 
24 2h ah 2a 2h 42 72 47 4h a4 
3a 3h 35 74 37 3h 23 24 82 34 
83 23 82 81 86 48 4h 76 37 32 
72 13 17 12 72 17 32 13 73 17 
1h 31 37 43 17 41 42 12 32 54 
51 53 41 54 56 46 36 14 53 16 
51 46 54 14 51 5h 5h 3h 53 5h 
4h ah 8h 6h 6h 2h 6h 2h 6h 2h 
6h 2h 6h 5h 4h 2h 6h 7h 7h 3h 
2h 6h 6h 2h 1h 7h 2h 6h 2h 
