1
2h 14 31 3h 23 87 6a 26 a2 82 
8a 8h 86 81 38 36 35 86 38 a3 
8a 38 a8 3a 31 a3 8a 83 a3 6a 
61 68 a1 6a 65 63 6h 6h a5 85 
4a 48 43 46 45 a8 4a 41 26 48 
24 21 2h 6h 3h 41 24 2h 1h 3h 
62 6h 86 83 8h 18 63 16 15 65 
85 16 18 25 12 82 18 62 16 14 
1h 86 18 1h a1 7a 78 74 a8 1a 
18 71 a8 6a 67 26 a7 2a 27 a7 
3a 32 67 36 3h 7h 26 82 a6 8a 
84 a4 34 83 81 31 78 7a 73 a3 
83 7a 78 7h 6h 47 4h a8 7a 74 
57 5h 24 62 6h 56 5h 4h 3h a4 
3a 38 a8 4a 43 4h a3 5a 58 5h 
5h 4h 5h 14 1h a8 4a 41 4h 54 
a1 5a 5h 5h 3h ah 7h 2h 6h 57 
5h 8h 3h 8h 7h 8h 8h 1h 8h 8h 
1h 1h 4h 
