2
8a 86 54 42 64 8b 58 5h 46 a8 
5a 53 15 64 58 13 1h 85 b1 24 
58 5b 38 25 2h 56 46 a5 3a 31 
35 3h 1h 38 23 26 76 78 76 18 
b7 42 4b 41 4h 1h bh 25 81 8h 
8h 6h 4b 45 a7 3a 34 37 a4 87 
65 b3 1a 1b 13 78 41 31 34 14 
b3 a3 87 41 62 4b 4a a4 78 6a 
6h b4 68 56 52 62 38 a3 4b 4a 
b4 26 14 25 65 6b 6h 7h a6 3a 
46 b2 61 81 83 8h 1h ah 5b 5a 
5h 25 b8 17 a4 7b 7h 8h 45 52 
36 1a 1h a4 74 b3 76 7h 2h 4a 
4h 4h 2h 5h 25 2h 57 25 75 1b 
1h a4 8a b8 68 6h 7h 3b 63 6h 
16 36 13 1h 2h bh 2h 4h ah 8h 
5h 8h 5h 6h 8h 7h 5h 6h 7h 3h 
5h 6h 5h 
