1
2h 46 32 72 7h 42 3a 32 37 3h 
37 36 a3 5a 57 57 56 54 53 85 
84 87 8h 58 a7 6a 65 a5 6a 63 
a3 6a 67 67 61 a1 8a 87 86 a7 
5a 53 48 45 85 48 a3 5a 58 75 
7h a8 4a 47 57 45 4h 7h 84 a7 
8a 85 a5 7a 78 a8 45 7a 72 74 
24 27 47 a7 8a 87 a7 18 42 14 
84 5a 18 58 a8 51 5a 85 81 51 
a5 85 48 45 85 34 38 48 64 3a 
34 36 46 43 63 a3 84 83 43 68 
34 8a 43 18 51 85 a6 34 38 48 
64 6a 86 83 63 18 16 56 51 81 
68 65 26 85 62 a8 36 48 54 15 
41 34 64 86 6a 46 43 14 63 16 
46 34 a8 43 84 3a 48 34 a4 3a 
38 a8 4a 48 34 a8 43 14 7a 41 
74 a4 7a 72 a2 4a 42 84 a2 48 
14 8a 41 84 a4 8a 83 a3 4a 43 
84 a3 48 14 7a 41 74 a4 6a 61 
36 a1 63 16 4a 61 76 46 84 a6 
48 34 4a 34 a4 3a 38 a8 4a 48 
34 a8 43 84 3a 48 14 51 45 84 
a3 48 34 8a 43 84 a4 8a 83 a3 
4a 43 84 a3 48 14 2a 51 45 24 
a4 1a 51 a5 2a 26 a6 4a 46 84 
a6 48 14 2a 51 45 24 27 47 84 
a7 48 64 4a 64 a4 1a 51 a5 6a 
67 a7 4a 47 84 a7 48 64 4a 64 
62 86 42 34 68 36 46 84 a2 48 
64 63 16 51 65 36 46 34 38 48 
64 68 16 51 65 86 46 34 4a 64 
68 16 48 14 64 86 a3 68 36 8a 
63 86 a6 8a 83 a3 6a 63 86 a3 
68 16 7a 61 76 a6 7a 72 a2 6a 
62 86 a2 68 36 6a 36 a6 3a 38 
a8 6a 68 36 a8 63 16 7a 61 76 
a6 4a 41 34 a1 43 84 4a 84 a4 
8a 83 a3 4a 43 84 a3 48 34 8a 
43 64 67 36 47 34 64 36 a8 63 
46 43 14 51 45 34 64 76 3a 67 
36 a6 4a 46 84 38 43 64 a4 6a 
63 86 36 38 a6 83 4a 46 34 48 
14 51 45 84 a6 48 14 51 45 74 
5a 83 47 54 a4 38 3a 13 15 35 
43 41 64 31 53 46 24 35 23 43 
14 51 45 24 27 47 34 37 63 47 
64 34 63 68 38 43 48 14 38 13 
53 51 31 35 83 15 41 84 34 83 
86 36 a3 83 6a 63 68 46 38 64 
36 a8 63 46 48 14 51 45 84 64 
86 83 63 46 43 14 51 45 34 64 
86 6a 46 43 14 63 16 46 34 a8 
43 84 3a 48 34 a4 3a 38 a8 4a 
48 34 a8 43 14 7a 41 74 a4 7a 
72 a2 4a 42 84 a2 48 14 8a 41 
84 a4 8a 83 a3 4a 43 84 a3 48 
14 7a 41 74 a4 6a 61 36 a1 63 
86 6a 46 47 34 67 36 46 34 a8 
43 64 63 16 51 65 36 46 84 4a 
64 63 16 43 14 64 36 a8 63 86 
3a 68 36 a6 3a 38 a8 6a 68 36 
a8 63 86 3a 68 56 51 61 86 a3 
68 36 8a 63 86 a6 8a 83 a3 6a 
63 46 45 84 15 48 34 61 76 a4 
67 46 43 14 51 45 34 64 86 6a 
16 51 65 46 43 14 63 16 46 34 
a8 43 84 3a 48 34 a4 3a 38 a8 
4a 48 34 a8 43 84 6a 56 48 54 
a4 1a 51 a5 4a 41 84 15 65 61 
86 46 84 83 43 84 a1 48 64 63 
16 51 65 36 46 34 38 48 34 4a 
64 68 16 48 14 64 86 a3 68 36 
8a 63 86 a6 8a 83 a3 6a 63 86 
a3 68 16 7a 61 76 a6 4a 41 34 
a1 43 74 4a 74 a4 6a 64 86 a4 
68 16 7a 61 76 a6 1a 51 a5 7a 
73 3h 7h 75 17 57 51 71 75 87 
15 78 a7 51 6a 15 67 36 a7 51 
6a 36 a6 15 3a 38 51 a8 15 6a 
68 56 a8 65 46 6a 46 a6 51 4a 
15 47 34 a7 51 4a 84 15 48 64 
67 86 47 54 68 16 45 14 64 16 
a3 54 4a 61 46 41 84 61 86 46 
84 83 43 64 63 16 51 65 36 46 
84 a1 48 64 63 86 43 54 6a 36 
14 63 16 46 45 14 65 64 16 a8 
61 36 6a 36 a6 54 3a 38 45 a8 
54 6a 68 16 a8 45 61 56 1a 64 
16 a6 45 4a 46 84 a6 56 4a 84 
65 48 14 15 a8 3a 35 83 a5 38 
13 3a 83 1h 38 63 8h 36 83 2h 
38 23 2h 27 a7 37 83 3a 83 85 
35 83 81 68 31 63 83 18 8h 18 
5h 81 38 36 23 5h 32 63 83 78 
7h 72 2h 51 1h 2h 72 2h 5h 15 
1h 31 36 23 16 21 31 63 1h 71 
72 12 17 61 27 16 21 36 23 24 
34 63 14 61 31 43 73 74 34 37 
13 16 41 17 41 36 43 13 71 2h 
17 31 34 63 14 61 31 43 21 34 
73 1h 34 13 16 41 17 41 36 43 
13 71 7h 13 41 71 74 14 17 31 
34 37 43 13 41 74 17 31 34 63 
14 61 31 43 47 37 13 16 41 36 
43 13 61 ah 16 31 34 63 14 61 
31 43 8a 68 ah 34 13 18 41 38 
43 13 81 1a 31 34 23 2h 14 81 
86 48 16 41 81 68 42 54 3h 13 
45 64 31 23 84 18 13 51 1h 51 
1h 31 32 43 12 51 82 58 54 83 
28 34 14 21 81 48 35 23 45 85 
18 13 41 83 58 14 51 81 48 46 
34 7h 43 14 18 31 48 34 14 81 
85 86 58 18 41 32 63 42 84 12 
61 31 53 15 83 28 43 24 84 38 
35 85 48 78 42 84 82 78 27 47 
24 84 28 16 51 36 43 56 16 51 
82 58 42 64 32 63 43 64 18 31 
65 34 23 48 18 21 31 83 45 24 
85 35 13 14 81 34 53 18 51 31 
43 73 74 34 37 13 18 41 38 43 
13 41 37 31 83 42 54 84 85 45 
35 13 48 24 31 73 3h 83 5h 42 
54 58 56 36 83 46 24 38 13 14 
81 34 63 85 68 38 63 13 81 85 
78 1h 41 1h 31 84 58 15 71 41 
36 13 47 37 53 36 53 63 42 64 
12 31 72 13 84 27 3h 21 28 18 
41 46 74 48 74 35 63 13 81 72 
82 14 51 4h 31 36 23 27 65 15 
72 48 24 84 16 38 8h 41 63 53 
42 54 12 87 34 4h 21 28 72 12 
87 35 46 27 21 1h 68 53 74 71 
41 85 5h 14 12 42 35 ah 58 86 
6a 21 24 14 4h 47 2h 73 3h 6h 
5h ah 7a ah 
