2
3a 3b 3h b8 87 48 84 8b 83 85 
8h 68 b6 2b 23 26 26 28 23 b2 
25 64 37 12 1b 13 23 14 84 62 
68 6h 82 56 37 b8 57 5b 5h 51 
5h 4h bh 8b a8 3a 31 58 b3 5b 
a5 24 75 65 b2 3a 3b a3 56 73 
2a 65 b2 6b 72 78 28 b6 2b 38 
56 b2 32 73v2 7h 6h 57 58 78 75 
85 65 6b 76 76 7h 4h b7 57 5h 
75 58 a7 5b 5a 45 4h 4h 57 46 
a5 b5 64 85 8h 4h 8h 4h 8h 8h 
6a 6h 83 2b 2h 1h 8h 38 a4 b8 
4a 4b 4h 86 82 8h 62 83 46 4h 
4h 4h 61 46 42 38 3h a3 63 4a 
4h 5h 7h 5h 7h 5h ah 5h 3h 2h 
5h 3h 2h bh 2h 1h 8h 1a 1h 1b 
1h bh ah 8h 
