2
5a 2h 2b a2 7a 7h bh 72 75 76 
76 5b 57 b7 23 2b 27 b7 87 4b 
4h 42 4h 8h 28 42 a4 8a 28 b4 
82 8b 81 51 51 56 52 75 37 53 
15 16 56 75 37 53 b5 2b 25 a2 
6a 61 a1 2a 52 a5 1a b2 16 7b 
61 a1 37 7a 25 b7 52 1b 25 73 
16 52 b6 37 7b 25 a7 52 1a 73 
b7 25 1b 17 87 15 81 78 73 83 
18 14 84 38 37 87 58 52 82 78 
73 83 a8 2a 25 a5 6a 68 a8 1a 
1h 3h 3h 16 71 37 13 21 86 12 
81 61 68 18 16 71 37 13 51 52 
12 71 37 13 21 86 12 81 61 68 
18 16 71 37 13 21 86 12 b1 68 
2b 25 86 b5 68 6b 61 b1 81 7b 
37 18 b3 81 8b 86 28 b6 82 68 
18 16 86 81 48 8b 48 b8 61 7b 
37 16 b3 61 8b 84 18 b4 86 48 
2b 84 28 25 2h 4h 4h 7h 61 72 
32 3h 35 3h 2h 4h 3h 27 2h 42 
45 4h ah 6h 3h 3h 7h 2h 64 6h 
62 6a 6h 7h 7h 5h 7h 5h 5h 4h 
67 64 6h 6h 1h 3h 1h 1h 2h 5h 
1h 5h 7h 5h 4h 5h 8h bh ah 
