2
3a 13 6b 86 85 81 b7 5b 58 45 
b8 5b 51 57 5h 5h b1 2b a7 27 
2a 2h 2h 6h 3h 3h 31 57 25 23 
b2 52 8b 85 b5 8b 8h 87 b8 2b 
27 42 b7 2b a2 5a 58 a8 b5 3a 
38 a3 2b 38 7a 72 a2 75 83 2a 
25 a5 38 b2 1a 1b 12 b2 6b a2 
4a 45 43 b5 1b 13 b3 6b 63 46 
b4 14 1b 18 16 1h b1 2b 23 b3 
1b a1 5a 51 a1 2a 28 a8 32 38 
28 12 15 25 1a 62 61 21 62 6h 
a6 2a 82 b8 2b a2 6a 16 12 62 
71 76 16 74 b1 8b 18 a1 6a 64 
a4 1a b6 81 83 63 1b a6 51 56 
16 51 5a 54 a4 14 5a b1 35 13 
5b a1 7a 75 a5 1a b1 6b 64 b4 
7b 67 a6 1a b1 5b 51 b1 75 7b 
7h 76 4h ah 7a 7h 5h 3h 4h 3h 
4h 3h 6h 4h 3h 6h 3h 3h 32 3h 
3h bh 8h 4h 8h 4h 4h a4 8h 4h 
8h 4h 8h 4h 8h 8h 8b 2h 1h 1h 
1h bh 2h 4h 4a 2h 2h ah 
