3
3h 5a 5b 5c 75 c5 3c 83 74 b5 
64 2b a2 31 6a 6h 63 c6 58 57 
5c 51 c5 b5 6c 6b 61 1h 8h b6 
c6 1b 1h 7h 2h 12 87 85 86 58 
a8 5c 5a c5 85 8c 86 c8 58 5c 
48 a5 c5 84 85 45 8a 76 7c 78 
47 48 a4 57 54 74 75 68 c6 1a 
21 35 2c 27 a2 37 3a c3 a6 86 
8c 8h 13 87 67 28v2 2a 2h 12 1h 
ah 1h ch 2h 6h 4h 1h 1h 6h 4h 
7a 7h a1 6c 6a b6 25 3b 3h 35 
b2 c3 8b 8c b8 2b a2 32 72 7h 
7h 2a 2h a3 7a c7 5c 5h a8 1a 
c1 87 5c 58 5h 5h 84 c4 27 a8 
b2 7c 7h 8a 45 4b 48 4h 6h ah 
2h 3h 1h ch 5h 7h 5h 7h 5h 7h 
4h 5h bh 7h 4h 5h 7h 8h 4h 5h 

