3
1a 1b 1c 14 1h b3 43 7b 7h 72 
b3 7b 87 c4 71 5c 75 a7 87 27 
82 48 4a c4 48 4c 45 c8 4c a4 
24 2a 25 b5 84 17 c2 1b 1c 14 
27 c1 b1 6c 36 34 64 63 6h a6 
67 2b 23 c2 63 b6 57 1a 1c c1 
5b 5c 5h 5h 7h 4h 27 c2 6c 56 
b2 3b 3h 2h a1 b4 61 7a 7b 7h 
3h b6 a6 43 4h 7b 7h 7h 4h 58 
b5 6a 6b b6 2b 48 a6 71 c2 5a 
72 84 b5 7c 12 a5 34 3b 53 b7 
27 35v3 3h 3h 7a 7h a1 35 3h 17 
8b 8h 65 71 83v3 c6 7a 7h 76 87 
8h 5h 4h 5h 4h 5h 4h 5h 4h 5h 
4h 5h 1h 4h bh ah 1h 4h 1h 4h 
3h 2h 1h 4h 6h 3h 4h 7h 6h 3h 
2h 
