3
8a 86 2b 2c b2 57 3b 23 b4 25 
13 58 38 72 35 72 85 82 68 67 
42 4b c4 3c 34 3h 37 b7 3b c3 
b3 6c 61 6b 67 b6 36 13v2 81 c8 
87 8h 68 6b 1c 16 1h 1h 8h 2h 
5h bh 6b 13 86 8h b8 c8 1b 24 
a1 23 8c 8a b8 6b a6 1a b1 76 
8b a8 c7 1a 32 42 a1 43 2c 2h 
7h 23 53 8a b8 64 47 35 a6 8b 
53 48v2 4a 4h 4h bh ch a4 35 1b 
78 5c 5h b1 5a 58 32 5b 5h ah 
7h 3h 54 7a 7h b5 75 76 7b 27 
56 72 7h ah 3h 67 56 c5 76 8a 
8h 5c b5 67 65 75 76 56 2b 2h 
a7 23 2h 5h 7a c7 24 2h 1h 7h 
ah bh 8h 3h 8h 2h 3h 6h 2h 3h 
4h 6h 3h 5h 4h 6h 3h 5h 4h 6h 
3h 
