2
1a 1h 6h 7b 74 b1 53 5b 52 57 
a5 53 18 62 5a b5 1b 13 15 15 
45 84 73 71 71 72 48 b7 47 87 
14 81 1b a1 6a b6 21 76 28 18 
72 a7 1b 27 2a 2h 21 2h a1 16 
b1 2a 67 81 54 8b 8h a6 8a 82 
83 3h 1h 2h bh 82 52 42 a5 76 
78 5b 68 67 24 b5 6a 26 46 a2 
87 72 1b 1a 78 a1 5a 28 27 b1 
3b 35 32 3h 3h ah 6h 7h 36 3a 
23 b2 53 64 8b 8h a5 45 4h 4h 
2a 46 b2 87 8h 2b 78 7h b2 a3 
64 6h 2b 87 46 42v2 4h 8h 2h 2a 
b2 4b 43 3h bh 3b 3h 42 14 1h 
a1 8a 38 3h 3h 3h bh 4h 8h 2h 
3h 2h 5h 7h 3h 3h 5h 7h 6h 7h 
6h ah 7h 6h 1h 7h 6h 7h 
