1
6h 42 37 58 7a 71 a7 4a 16 87 
86 85 8h 48 42 14 1h 1h ah 1a 
76 7h 74 71 5h a7 1a 17 a7 1a 
13 41 a3 14 2a 21 a1 6a 64 a4 
3a 31 a1 51 4a 46 a6 3a 38 28 
37 3h 2h 4h 1h 4h 4h 47 48 14 
a8 7a 41 74 72 42 a2 84 4a 84 
a4 8a 83 a3 1a 14 a4 1a 13 a3 
81 8a 8h 8h 2h 2h 3h 2h 3h 2h 
38 31 81 a8 1a 13 18 38 a8 41 
1a 41 a1 4a 48 a8 14 18 48 71 
74 75 14 71 74 24 27 24 2h 62 
7a 26 47 42 72 57 15 21 24 14 
62 61 21 32 73 a7 1a 16 a6 61 
4a 16 41 a1 5a 35 a3 1a 14 a4 
61 2a 16 52 51 75 21 67 6h 52 
5h 54 51 65 6h 6h 7h 2h 5h 6h 
4h 8h 4h 8h 4h 8h 4h 8h 4h 4h 
8h 8h 3h 8h 3h 8h 1h ah 67 6h 
1h 7h 1h 
