2
3a 2b 23 3h 47 12 a1 8a 8h b8 
85 31 a8 68 56 86 38 7b 7a 78 
7h a7 73 7h 7a b3 5b 57 57 53 
5h 4h b5 75 7b 17 1h 14 13 b1 
51 81 7b a7 18 15 25 2h 62 63 
17 41 4a 4h a5 23 2h 4a 4h 24 
2h bh 36 15 1h 5h 5h 1h 82v3 a1 
52 63 6h 1b 36 25 27 63 38 6a 
61 62 6h 4h 12 64 26 63 6h bh 
a1 7b 7h 81 1a 1h 82 8h 12 b6 
13 a1 74 4b 4h 1a 56 47 a1 23 
8a 8h 4h a4 8a 32 b8 4b 58 68 
a4 1a b1 6b a6 57 8a 8h 87 b5 
31 34 14 6b a6 24 5a 35 3h 3h 
bh ah 6h 4h 7h 4h 2h 8h 7h 4h 
7h 4h 1h 7h 4h 3h 5h 7h 4h 7h 
4h 
