2
16 3a 1b 31 3h 34 83 28 2h a4 
3a 35 a5 35 6a 65 a5 4a b6 3b 
43 23 42 46 41 43 b1 7b 76 7h 
72 a2 7a 75 87 85 75 a7 b7 2a 
2b 26 b6 8b 28 a6 2a 28 36 26 
32 38 43 13 28 b2 1b 12 b2 1b 
32 31 b3 1b 13 b3 71 76 5b 57 
b7 16 5b 54 a4 7a 74 a4 5a 57 
a7 1a 51 23 53 13 52 12 58 5h 
1h 81 57 32 b7 18 41 47 17 41 
7b 71 74 14 17 81 47 18 41 71 
74 23 b1 32 6b 6h 47 68 23 a8 
32 b8 23 1a 17 1h 41 a7 32 8b 
14 81 86 8h 16 41 b6 14 71 1a 
41 1b 41 42 84 12 81 41 84 a7 
48 14 18 71 48 74 14 81 8a b2 
72 4b 42 84 b2 48 74 8b 47 84 
b4 8b a4 14 81 86 78 8a 78 8h 
68 8h 68 2h 86 48 b1 84 68 7b 
47 86 48 78 47 41 84 87 68 47 
64 84 68 67 87 48 47 64 87 68 
61 81 78 41 74 84 78 71 81 48 
41 74 81 78 48 64 74 87 84 68 
74 67 65 87 68 6h 6h 63 46 1h 
64 76 78 47 68 46 76 47 48 64 
67 16 47 14 64 76 16 17 67 61 
46 47 14 67 16 18 68 76 48 74 
78 48 74 68 76 46 14 74 67 64 
86 6h 46 76 47 41 64 67 16 47 
14 64 76 15 71 61 46 76 17 16 
81 76 87 17 61 45 74 71 67 41 
64 65 86 74 87 67 16 17 67 46 
16 71 76 16 71 74 67 14 61 71 
67 68 16 17 41 67 56 4h 65 86 
16 71 76 16 81 45 84 14 61 67 
17 61 64 86 45 15 71 75 15 21 
1h 21 1h 21 5h 12 41 46 84 57 
48 54 74 75 47 75 67 17 81 61 
56 6h 16 2h 18 21 23 13 81 4h 
74 76 57 46 54 74 67 18 41 47 
54 74 14 81 3h 76 47 46 76 57 
47 64 67 47 64 65 45 74 75 45 
34 3h 42 74 76 57 46 54 74 67 
18 41 47 54 74 14 81 5h 51 61 
71 47 41 71 57 67 16 14 64 16 
17 67 46 47 67 16 18 71 68 76 
16 71 47 64 61 76 41 74 64 16 
14 64 76 75 47 85 74 87 67 46 
41 61 46 47 14 16 46 74 14 61 
64 14 51 58 18 41 46 16 41 47 
64 61 41 74 64 16 14 64 76 75 
47 41 71 47 46 14 17 47 64 14 
71 74 14 81 15 81 51 65 46 47 
67 46 41 74 76 46 14 74 67 64 
74 17 18 41 46 16 41 47 84 75 
15 61 65 15 21 23 13 51 56 16 
51 74 67 61 71 47 57 54 74 64 
16 14 64 56 68 56 78 47 41 71 
47 48 78 17 18 78 47 46 84 76 
87 47 64 ah 46 74 71 67 41 64 
74 17 18 78 47 46 54 1a 61 65 
26 54 14 21 61 86 74 27 6h 16 
17 81 67 86 84 64 76 14 71 61 
86 72 87 85 28 67 16 18 51 4h 
68 76 71 87 61 86 76 17 82 18 
15 21 85 28 18 51 3h 71 67 68 
16 78 57 61 36 6h 16 17 81 67 
86 16 81 82 68 61 76 81 78 68 
16 75 27 31 63 86 85 18 65 16 
86 58 17 51 4h 15 71 72 57 12 
51 71 27 81 68 41 72 47 62 46 
82 18 16 86 18 84 28 74 67 74 
27 15 21 71 67 81 58 76 47 85 
28 7h 67 65 16 75 17 67 56 18 
71 78 57 18 41 45 74 57 67 86 
14 51 38 63 76 15 41 64 56 17 
31 8h 18 71 76 87 73 87 16 81 
71 67 82 48 74 67 87 18 12 71 
82 48 46 16 21 45 75 67 85 28 
18 61 71 57 56 76 17 15 81 75 
67 18 61 64 26 14 81 74 57 18 
51 71 87 86 18 76 57 81 38 1h 
86 48 63 47 87 68 14 61 74 16 
71 86 48 36 84 38 17 61 63 13 
61 81 38 1h 83 48 87 48 62 46 
86 78 86 78 12 61 18 61 75 27 
54 1h 81 72 37 32 72 47 64 36 
84 38 14 21 26 16 21 75 27 17 
61 67 17 51 68 76 78 68 76 72 
87 23 63 86 76 87 15 61 67 46 
73 13 51 78 47 67 86 15 41 82 
38 54 15 21 6h 56 1h 41 64 36 
15 31 61 36 1h 16 71 75 47 57 
54 74 75 47 75 15 4h 57 51 71 
67 62 16 54 23 73 47 75 61 54 
2h 17 46 32 71 37 27 12 16 71 
26 17 4h 62 6h 71 65 17 bh 54 
8b 76 45 67 ah 51 2a 78 15 87 
bh 54 7b 45 7h 56 5h ah 6a bh 
3b ah bh 
