2
3a 26 3b 35 b5 75 8b 87 b7 2b 
17 1h 23 28 2h 2h 23 42 45 4h 
ah 1a 46 47 31 38 35 36 3h 46 
18 15 b4 2b 12 12 1h b1 85 3b 
43 58 42 32 85 54 53 48 54 34 
84 83 85 43 45 35 34 54 b3 45 
4b 48 b8 58 54 84 85 45 48 58 
74 1b 71 41 54 84 85 45 48 58 
74 73 43 54 84 85 45 48 58 14 
85 13 43 71 58 b4 85 1b 58 51 
81 85 15 18 58 a1 85 b1 58 5a 
5b 57 b7 a7 87 5b 78 5a 54 87 
a4 78 b4 87 5a 5h 6h 2h 6h 2h 
6h 2h 7h 53 23 52 53 5h 85 7b 
58 75 74 85 84 87 54 57 47 b4 
38 45 7b 57 83 85 8h 8h 6h 5h 
4h bh 67 6h 61 6h 21 78 75 74 
7h 1h 85 72 78 76 7h 3h 5h 3h 
5h 3h 3h 3h 2h 4h 4h 3h 6h 3h 
6h 6h 4h 4h 3h 1h 4h 8h 1h 4h 
1h ah 
