2
3a 38 a1 3b 36 47 37 4a 41 32 
3h 84 a8 83v2 8a b8 a6 2b 2a 25 
2h 26 b2 18 15 1b 1h 15 13 a1 
15 17 42 4h 6h 2a 2h a1 74 25 
6a 6h 63 6h 1h 61 b6 1b 76 a1 
52 67 47 58 46 28 76 34 36 73v2 
1a 71 73 75 7h 7h 8h 8h a7 46 
85 4a b4 58 14 a1 61 85 63 7b 
84 24 8a 8h 47 4h a5 2a 28 b2 
8b a5 54 36 b8 18 86 63 3a 3b 
31 3h b1 5b 5h 6h a1 7a 83 b7 
36 a8 2b 48 63 45 85 36 b2 3a 
3b a3 8a b8 2b 42 4h 38 a3 16 
1a b1 4b 53 a4 57 64 37 52 1a 
b1 3b a3 46 4a 51 54 5h bh 21 
3b 45 53v2 85 a4 13 64 6h 32 31 
46 72 7h 13 5a 58 54 57 5h 7h 
bh 2h 6h 3h 64 86 6b 65 67 36 
7h 2h 4h 2h 4h 2h 4h 2h 4h 2h 
4h 2h 6h 4h ah bh 1h 3h 5h 6h 
4h 6h 4h 
