3
2a 7b 72 83 5c 51 48 b7 6b 61 
56 54 51 81 57 31 c5 b5 18 45 
4c 74 14 17 47 3b 13 1h 17 1h 
15 b5 16 31v2 87 21 2b 24 72 a7 
28 62 3a 38 68 6h 65 6h b6 87 
3b 3h 1h a3 6a 78 b6 16 3b 23 
2h 2h 6h b6 1b a1 2a 62 6h 7h 
c1 3c 83 8h 6h 7h 5h b6 2b 72 
7h ah 82 87 83 74 c3 8a 8c b8 
47 c8 51 a1 74 8b 8c 8a 78 7h 
5h a6 c6 24 7a 7c 7h 71 b6 7b 
c7 5c 35 3h a7 5a b5 8b c8 5c 
42 b5 45 25 47 3b a3 8a 52 c8 
57 4c 4h 42 4h 4h 3h 6h bh 6h 
2h 6h 2h 1h 6h 2h 7h 1h 2h 4h 
5h 7h 1h 8h 7h 1h 7h 1h ch 7h 
1h ah 7h 1h 
